IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  NETSCANNER PRESSURE RESULTS FILE - UNIT 2 
Run time: 11:15:27 26-11-2020
Barometric pressure: 1.0199 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Missed Packets:  0
Pressure quoted in units of BarA
Time[s], PIV,Ch17(363.5mm),Ch18(383.5mm),Ch19(403.5mm),Ch20(423.5mm),Ch21(443.5mm),Ch22(463.5mm),Ch23(483.5mm),Ch24(503.5mm),Ch25(523.5mm),Ch26(543.5mm),Ch27(563.5mm),Ch28(583.5mm),Ch29(0.0mm),Ch30(0.0mm),Ch31(0.0mm),Ch32(0.0mm),Kulite
0.31000,0.00000,1.01995,1.01988,1.01983,1.02002,1.01980,1.02022,1.01983,1.02000,1.01985,1.01993,1.01995,1.01983,1.01996,1.01996,1.01986,1.01984,0.00000
0.32000,0.00000,1.01984,1.01988,1.01994,1.02012,1.01980,1.02002,1.01988,1.01979,1.01995,1.01993,1.02000,1.01983,1.01996,1.02001,1.01991,1.02005,0.00000
0.33000,0.00000,1.01989,1.01988,1.01983,1.01987,1.01990,1.01981,1.01983,1.01979,1.01980,1.01999,1.01995,1.01993,1.01991,1.02001,1.02006,1.02005,0.00000
0.34000,0.00000,1.01979,1.01978,1.01999,1.02002,1.01974,1.02002,1.01983,1.02000,1.01990,1.01988,1.01985,1.01983,1.02001,1.01996,1.01991,1.01989,0.00000
0.35000,0.00000,1.01995,1.01983,1.01983,1.02002,1.01980,1.01986,1.01993,1.01995,1.01995,1.01993,1.01995,1.01993,1.01996,1.01996,1.01991,1.01989,0.00000
0.36000,0.00000,1.02000,1.01983,1.01988,1.02002,1.01980,1.01991,1.01998,1.01990,1.01990,1.02004,1.01990,1.01993,1.01986,1.02001,1.01991,1.01989,0.00000
0.37000,0.00000,1.01984,1.01983,1.02004,1.02002,1.01980,1.01981,1.01988,1.01990,1.02001,1.01988,1.01995,1.01993,1.02012,1.01986,1.02011,1.01995,0.00000
0.38000,0.00000,1.01995,1.01973,1.02004,1.01987,1.01969,1.02002,1.01978,1.02005,1.01990,1.01988,1.02005,1.01988,1.02006,1.01996,1.01996,1.01984,0.00000
0.39000,0.00000,1.02000,1.01988,1.01994,1.01992,1.01980,1.02002,1.01983,1.01990,1.01995,1.01993,1.01985,1.01983,1.01986,1.01996,1.02001,1.01984,0.00000
0.40000,0.00000,1.01989,1.01994,1.01988,1.02007,1.01974,1.01991,1.01983,1.01990,1.02006,1.01993,1.01990,1.01993,1.01996,1.02011,1.01986,1.01984,0.00000
0.41000,0.00000,1.02000,1.01983,1.01983,1.01992,1.01985,1.01997,1.01988,1.01995,1.01995,1.01993,1.01980,1.01993,1.01991,1.01986,1.01991,1.02000,0.00000
0.42000,0.00000,1.02000,1.01988,1.01999,1.01992,1.01996,1.01981,1.01998,1.01990,1.01990,1.01999,1.01995,1.01988,1.01975,1.02001,1.02001,1.01989,0.00000
0.43000,0.00000,1.01984,1.01988,1.01988,1.01992,1.01985,1.01991,1.02009,1.02000,1.01985,1.01999,1.02000,1.01988,1.01986,1.01996,1.01991,1.01995,0.00000
0.44000,0.00000,1.01995,1.01988,1.01994,1.01987,1.01990,1.01997,1.01993,1.01974,1.02001,1.01993,1.01980,1.01993,1.01991,1.02001,1.01996,1.01989,0.00000
0.45000,0.00000,1.01989,1.01983,1.01999,1.01992,1.01980,1.01986,1.01988,1.01995,1.01995,1.01988,1.01995,1.01988,1.01996,1.02001,1.01986,1.02000,0.00000
0.46000,0.00000,1.01984,1.01983,1.01988,1.01997,1.01969,1.01997,1.01983,1.02005,1.01985,1.01988,1.01990,1.01998,1.01986,1.02006,1.02001,1.02000,0.00000
0.47000,0.00000,1.01984,1.01988,1.01994,1.01997,1.01974,1.01991,1.01983,1.01974,1.01985,1.01999,1.01985,1.01998,1.01986,1.02006,1.01991,1.02000,0.00000
0.48000,0.00000,1.01989,1.01983,1.01972,1.02002,1.01990,1.01997,1.01988,1.02000,1.01990,1.01988,1.01980,1.01993,1.01986,1.01991,1.01986,1.02000,0.00000
0.49000,0.00000,1.01989,1.01983,1.01999,1.01987,1.01980,1.01986,1.01988,1.01984,1.01980,1.01983,1.01995,1.01988,1.01996,1.02001,1.01996,1.01995,0.00000
0.50000,0.00000,1.02000,1.01999,1.01999,1.01997,1.01980,1.01986,1.01988,1.01990,1.02001,1.01999,1.01990,1.01983,1.01991,1.01991,1.01991,1.01989,0.00000
0.51000,0.00000,1.01989,1.01973,1.01994,1.01992,1.01985,1.01997,1.01998,1.01984,1.02001,1.01988,1.01990,1.01988,1.01996,1.01991,1.01986,1.02005,0.00000
0.52000,0.00000,1.01995,1.01988,1.01999,1.01992,1.01990,1.01991,1.02003,1.01990,1.01980,1.01988,1.01995,1.01998,1.01996,1.01986,1.01996,1.01989,0.00000
0.53000,0.00000,1.01995,1.01983,1.01988,1.01997,1.01985,1.02002,1.01983,1.01995,1.01985,1.01993,1.01995,1.01988,1.01996,1.02001,1.02011,1.01979,0.00000
0.54000,0.00000,1.01984,1.01994,1.01994,1.01997,1.01985,1.01981,1.02003,1.01984,1.02001,1.01993,1.01995,1.01988,1.02006,1.02006,1.01986,1.02011,0.00000
0.55000,0.00000,1.02005,1.01983,1.01999,1.02002,1.01985,1.01981,1.01988,1.01995,1.01990,1.01983,1.01990,1.01983,1.01986,1.02011,1.01986,1.01995,0.00000
0.56000,0.00000,1.02000,1.01994,1.01983,1.01997,1.01969,1.01991,1.01978,1.01995,1.02001,1.01988,1.01990,1.01998,1.02001,1.02001,1.02001,1.01995,0.00000
0.57000,0.00000,1.01979,1.01988,1.02004,1.01987,1.01996,1.01981,1.01993,1.02000,1.01995,1.01999,1.01985,1.01998,1.01996,1.01996,1.01991,1.02000,0.00000
0.58000,0.00000,1.01989,1.01978,1.01999,1.01997,1.01980,1.01991,1.01988,1.01990,1.01980,1.01999,1.01980,1.01993,1.01991,1.01991,1.02006,1.01989,0.00000
0.59000,0.00000,1.01989,1.01983,1.01994,1.01997,1.01974,1.01997,1.01993,1.01995,1.01990,1.01993,1.01985,1.01993,1.01991,1.01991,1.01986,1.01995,0.00000
0.60000,0.00000,1.01989,1.01983,1.01988,1.01992,1.01985,1.01976,1.02009,1.01995,1.01980,1.01999,1.01990,1.01993,1.01996,1.01996,1.01996,1.01989,0.00000
0.61000,0.00000,1.01995,1.01983,1.01994,1.01992,1.01980,1.02002,1.01978,1.02000,1.01995,1.01983,1.01990,1.01988,1.01980,1.01996,1.02006,1.02000,0.00000
0.62000,0.00000,1.01984,1.01973,1.01988,1.02002,1.01985,1.01991,1.01983,1.01995,1.01985,1.01988,1.01995,1.01983,1.02001,1.01991,1.02001,1.01989,0.00000
0.63000,0.00000,1.02000,1.01983,1.01999,1.02002,1.01980,1.01991,1.01978,1.01995,1.02001,1.01999,1.01995,1.01993,1.01996,1.01996,1.01986,1.01989,0.00000
0.64000,0.00000,1.02000,1.01994,1.01983,1.02012,1.01974,1.01991,1.01998,1.01984,1.01995,1.01999,1.01990,1.01983,1.01991,1.02011,1.01981,1.02005,0.00000
0.65000,0.00000,1.01984,1.01983,1.01994,1.01987,1.01985,1.01986,1.01998,1.02000,1.01985,1.01988,1.01990,1.01993,1.01991,1.01996,1.01991,1.01995,0.00000
0.66000,0.00000,1.01995,1.01988,1.01988,1.02002,1.01980,1.01976,1.01993,1.01990,1.01990,1.01999,1.01995,1.01993,1.01980,1.02006,1.02001,1.01995,0.00000
0.67000,0.00000,1.01979,1.01973,1.01988,1.01987,1.01985,1.01986,1.01993,1.01984,1.02001,1.01978,1.01990,1.01993,1.01991,1.01981,1.01996,1.02000,0.00000
0.68000,0.00000,1.01989,1.01983,1.01999,1.01987,1.01990,1.01991,1.02003,1.01979,1.01990,1.02004,1.01980,1.02003,1.01996,1.02001,1.01996,1.01995,0.00000
0.69000,0.00000,1.01989,1.01983,1.01994,1.01987,1.01974,1.01991,1.01988,1.01979,1.01985,1.01993,1.01980,1.01993,1.01991,1.02006,1.01996,1.01989,0.00000
0.70000,0.00000,1.01995,1.01988,1.01994,1.02002,1.01980,1.01991,1.01988,1.01995,1.02001,1.01999,1.01990,1.01993,1.01980,1.02006,1.01986,1.01995,0.00000
0.71000,0.00000,1.01995,1.01988,1.01988,1.01997,1.01990,1.01991,1.02003,1.01984,1.01990,1.02009,1.01990,1.01998,1.02006,1.01986,1.02001,1.01984,0.00000
0.72000,0.00000,1.02000,1.01999,1.01988,1.01982,1.01969,1.02007,1.01978,1.01990,1.01980,1.01993,1.01985,1.01993,1.01986,1.02001,1.01996,1.02000,0.00000
0.73000,0.00000,1.01984,1.01983,1.01994,1.01987,1.01990,1.01991,1.01988,1.02000,1.01990,1.01999,1.01975,1.01993,1.01996,1.01996,1.02001,1.02000,0.00000
0.74000,0.00000,1.01989,1.01978,1.01999,1.01997,1.01969,1.01997,1.01983,1.01984,1.01990,1.01993,1.01990,1.01988,1.01991,1.01996,1.01996,1.01995,0.00000
0.75000,0.00000,1.01984,1.01983,1.01999,1.01997,1.01985,1.01991,1.01993,1.01990,1.02001,1.01988,1.01985,1.01988,1.02001,1.01991,1.01996,1.01995,0.00000
0.76000,0.00000,1.01974,1.01978,1.01988,1.01987,1.01980,1.01997,1.01993,1.02005,1.01990,1.01988,1.01995,1.01993,1.01991,1.02027,1.01991,1.01995,0.00000
0.77000,0.00000,1.01989,1.01988,1.01983,1.01997,1.01985,1.01991,1.01978,1.01984,1.01985,1.01999,1.01985,1.01988,1.01996,1.01986,1.01986,1.01995,0.00000
0.78000,0.00000,1.01984,1.01988,1.01999,1.01987,1.01980,1.02002,1.01988,1.01990,1.01995,1.01993,1.01990,1.01983,1.01996,1.01996,1.02006,1.01989,0.00000
0.79000,0.00000,1.01995,1.01994,1.02004,1.01992,1.01980,1.01986,1.01998,1.01990,1.01995,1.01988,1.01995,1.01988,1.01996,1.01991,1.01991,1.01984,0.00000
0.80000,0.00000,1.02000,1.01994,1.01994,1.01987,1.01990,1.01981,1.01998,1.01979,1.02001,1.01999,1.01985,1.02003,1.01991,1.01996,1.01996,1.02005,0.00000
0.81000,0.00000,1.01984,1.01999,1.01994,1.01992,1.01980,1.01997,1.01993,1.01990,1.01995,1.01988,1.01990,1.01993,1.01996,1.01991,1.01986,1.01989,0.00000
0.82000,0.00000,1.01984,1.01978,1.01999,1.01982,1.01996,1.01997,1.02003,1.01990,1.01980,1.01988,1.01980,1.01998,1.02001,1.02011,1.01991,1.01995,0.00000
0.83000,0.00000,1.01995,1.01983,1.02004,1.01987,1.01985,1.01991,1.01988,1.01984,1.02001,1.01988,1.01980,1.01983,1.01991,1.01981,1.02006,1.01995,0.00000
0.84000,0.00000,1.01989,1.01988,1.01994,1.01992,1.01974,1.01997,1.01978,1.01990,1.01990,1.01993,1.02005,1.01993,1.01996,1.01991,1.01996,1.01989,0.00000
0.85000,0.00000,1.02000,1.01994,1.01983,1.01992,1.01980,1.01981,1.01988,1.01974,1.01985,1.01993,1.01985,1.01998,1.01996,1.01991,1.02006,1.01995,0.00000
0.86000,0.00000,1.01995,1.01994,1.01983,1.01997,1.01974,1.01991,1.01978,1.02016,1.01990,1.01983,1.01985,1.01998,1.01991,1.02001,1.02006,1.02000,0.00000
0.87000,0.00000,1.01995,1.01988,1.01983,1.02002,1.01969,1.01991,1.01988,1.01984,1.01995,1.01993,1.01985,1.01993,1.01996,1.02001,1.02001,1.01989,0.00000
0.88000,0.00000,1.01974,1.01983,1.01994,1.01997,1.01985,1.02002,1.01983,1.01990,1.02001,1.01993,1.01995,1.01998,1.02006,1.01986,1.02001,1.01989,0.00000
0.89000,0.00000,1.02005,1.01988,1.01994,1.01982,1.01990,1.02002,1.01993,1.01990,1.01985,1.01999,1.01985,1.01998,1.02006,1.01986,1.01996,1.01989,0.00000
0.90000,0.00000,1.01989,1.01978,1.02004,1.01992,1.01996,1.01991,1.01998,1.01995,1.01990,1.01993,1.01990,1.01998,1.01986,1.01991,1.02016,1.01995,0.00000
0.91000,0.00000,1.01989,1.01988,1.01999,1.01997,1.01985,1.01997,1.01998,1.01995,1.01990,1.01999,1.02005,1.01988,1.01991,1.01996,1.02006,1.01984,0.00000
0.92000,0.00000,1.01984,1.01983,1.02009,1.01997,1.01974,1.02002,1.01978,1.01990,1.02006,1.01983,1.02000,1.01983,1.01986,1.02001,1.01996,1.01984,0.00000
0.93000,0.00000,1.01984,1.01988,1.01994,1.01997,1.01980,1.01976,1.01998,1.01984,1.01985,1.01993,1.01985,1.01993,1.01996,1.02006,1.01996,1.01995,0.00000
0.94000,0.00000,1.01995,1.01983,1.01978,1.01997,1.01974,1.02002,1.01998,1.01995,1.02001,1.01983,1.01985,1.01993,1.01986,1.02006,1.01991,1.01995,0.00000
0.95000,0.00000,1.01984,1.01978,1.01994,1.01987,1.01974,1.01991,1.01998,1.01984,1.01985,1.01988,1.01990,1.01998,1.01986,1.01991,1.02011,1.01989,0.00000
0.96000,0.00000,1.01989,1.01983,1.02004,1.01997,1.01980,1.01991,1.01988,1.01995,1.01985,1.02004,1.01995,1.01993,1.01996,1.01981,1.01991,1.01989,0.00000
0.97000,0.00000,1.01989,1.01978,1.01988,1.02002,1.01974,1.01997,1.01983,1.02000,1.01995,1.01983,1.02000,1.01983,1.02006,1.01986,1.01996,1.01989,0.00000
0.98000,0.00000,1.01984,1.01983,1.01999,1.01997,1.01996,1.01981,1.01988,1.01984,1.01995,1.01988,1.01995,1.01993,1.01991,1.01991,1.02001,1.02000,0.00000
0.99000,0.00000,1.01995,1.01983,1.01988,1.01997,1.01990,1.01997,1.01993,1.01984,1.01990,1.01993,1.01990,1.01983,1.01986,1.01986,1.02001,1.01995,0.00000
1.00000,0.00000,1.01989,1.01994,1.01988,1.02002,1.01985,1.01986,1.01983,1.01995,1.02001,1.01983,1.01990,1.01988,1.01996,1.02001,1.01996,1.01995,0.00000
1.01000,0.00000,1.02000,1.01988,1.01988,1.01987,1.01990,1.01976,1.01993,1.01984,1.01990,1.01993,1.01995,1.01993,1.02001,1.02006,1.01991,1.01995,0.00000
1.02000,0.00000,1.01995,1.01988,1.01988,1.02007,1.01985,1.01986,1.01998,1.01984,1.01995,1.01999,1.01995,1.01988,1.01986,1.02011,1.01991,1.02000,0.00000
1.03000,0.00000,1.02000,1.01983,1.01994,1.01997,1.01990,1.01986,1.01983,1.01995,1.01995,1.01983,1.01995,1.01983,1.02006,1.01996,1.02016,1.02000,0.00000
1.04000,0.00000,1.01984,1.01988,1.01988,1.01992,1.01990,1.01981,1.01993,1.01984,1.01985,1.01999,1.01985,1.01988,1.01991,1.02001,1.01991,1.01995,0.00000
1.05000,0.00000,1.01989,1.01983,1.02004,1.01992,1.01990,1.01986,1.01993,1.01990,1.01990,1.01993,1.01990,1.01988,1.01996,1.01991,1.01991,1.02005,0.00000
1.06000,0.00000,1.01984,1.01978,1.01994,1.02012,1.01980,1.02002,1.01993,1.01995,1.01995,1.01988,1.01995,1.01993,1.01996,1.02006,1.01991,1.01995,0.00000
1.07000,0.00000,1.01995,1.01983,1.01994,1.01992,1.01985,1.01981,1.01998,1.01974,1.01990,1.01978,1.01995,1.01993,1.01991,1.01996,1.01996,1.02005,0.00000
1.08000,0.00000,1.01995,1.01988,1.01988,1.02007,1.01985,1.01981,1.02003,1.02000,1.02006,1.01993,1.01990,1.01983,1.02001,1.01996,1.02001,1.02016,0.00000
1.09000,0.00000,1.01984,1.01988,1.01988,1.02002,1.01980,1.01986,1.01988,1.01990,1.01985,1.02004,1.01990,1.01983,1.02012,1.02011,1.01996,1.01989,0.00000
1.10000,0.00000,1.02000,1.02009,1.01983,1.01987,1.01980,1.01997,1.01983,1.01974,1.01995,1.01999,1.02000,1.01988,1.01986,1.01991,1.02001,1.01989,0.00000
1.11000,0.00000,1.01979,1.01978,1.02004,1.01992,1.01980,1.01997,1.01988,1.01990,1.01985,1.01978,1.01995,1.01979,1.02001,1.01996,1.02006,1.02000,0.00000
1.12000,0.00000,1.01989,1.01978,1.01994,1.01992,1.01990,1.01991,1.01988,1.02005,1.01985,1.01993,1.02005,1.01983,1.01996,1.01996,1.01996,1.02005,0.00000
1.13000,0.00000,1.01989,1.01983,1.01988,1.02002,1.01980,1.01991,1.02003,1.01990,1.01990,1.01983,1.01990,1.01988,1.01991,1.01991,1.02001,1.01995,0.00000
1.14000,0.00000,1.01995,1.01988,1.01994,1.01987,1.01996,1.01981,1.01998,1.01984,1.01995,1.01999,1.01990,1.01993,1.01996,1.02001,1.01991,1.01995,0.00000
1.15000,0.00000,1.01995,1.01988,1.01983,1.01992,1.01985,1.01986,1.01988,1.01995,1.01990,1.01988,1.02000,1.01993,1.02006,1.01986,1.01991,1.01984,0.00000
1.16000,0.00000,1.01989,1.01988,1.01999,1.01992,1.01980,1.01986,1.01978,1.01990,1.01990,1.01993,1.01985,1.01988,1.01996,1.02001,1.01991,1.01984,0.00000
1.17000,0.00000,1.01995,1.01983,1.01994,1.01997,1.01985,1.01991,1.01993,1.01995,1.02001,1.01988,1.01995,1.01983,1.02001,1.01991,1.01986,1.02000,0.00000
1.18000,0.00000,1.02000,1.01983,1.01988,1.01992,1.01985,1.01986,1.01983,1.01990,1.01980,1.01983,1.01985,1.01983,1.02006,1.02001,1.02006,1.01989,0.00000
1.19000,0.00000,1.01995,1.01978,1.01999,1.01997,1.01985,1.01976,1.01993,1.01990,1.01985,1.01993,1.01990,1.01993,1.02006,1.01986,1.01986,1.02000,0.00000
1.20000,0.00000,1.01995,1.01988,1.01999,1.01987,1.01990,1.01981,1.01998,1.01984,1.01995,1.01999,1.02000,1.01998,1.02001,1.01981,1.02001,1.01984,0.00000
1.21000,0.00000,1.01995,1.01988,1.01978,1.01992,1.01969,1.01986,1.01988,1.01984,1.01995,1.01993,1.01995,1.01993,1.01996,1.02001,1.01991,1.01995,0.00000
1.22000,0.00000,1.01995,1.01983,1.02004,1.01992,1.01969,1.02002,1.01988,1.02005,1.02001,1.01988,1.01990,1.01993,1.02001,1.01986,1.01991,1.02000,0.00000
1.23000,0.00000,1.02005,1.02004,1.01988,1.02002,1.01980,1.01981,1.01998,1.01995,1.01985,1.01988,1.01990,1.01993,1.01975,1.01996,1.02001,1.02000,0.00000
1.24000,0.00000,1.01989,1.01983,1.01999,1.01992,1.01980,1.01986,1.01978,1.01990,1.01990,1.01993,1.01990,1.01993,1.01991,1.02001,1.01981,1.01995,0.00000
1.25000,0.00000,1.01995,1.01983,1.01999,1.02002,1.01990,1.01991,1.01983,1.01984,1.01990,1.01999,1.01985,1.01988,1.02006,1.02006,1.01996,1.01989,0.00000
1.26000,0.00000,1.01995,1.01983,1.01994,1.02002,1.01985,1.01991,1.01993,1.01995,1.01990,1.01999,1.02000,1.01993,1.01991,1.02006,1.01991,1.02000,0.00000
1.27000,0.00000,1.01995,1.01999,1.01994,1.02002,1.01990,1.01991,1.01993,1.02000,1.01995,1.01983,1.01985,1.01993,1.01996,1.02001,1.01986,1.02000,0.00000
1.28000,0.00000,1.01995,1.01988,1.01994,1.02002,1.01980,1.02012,1.01983,1.01995,1.02001,1.01988,1.01995,1.01993,1.02001,1.02001,1.01996,1.01995,0.00000
1.29000,0.00000,1.01995,1.01983,1.01988,1.02002,1.01985,1.02002,1.01983,1.01995,1.01995,1.01993,1.01990,1.01988,1.01986,1.02006,1.01991,1.01989,0.00000
1.30000,0.00000,1.02000,1.01983,1.01983,1.01992,1.01980,1.01981,1.01998,1.01995,1.01995,1.01993,1.01985,1.01993,1.01991,1.02006,1.01991,1.02000,0.00000
1.31000,0.00000,1.01995,1.01983,1.02004,1.01992,1.01980,1.01991,1.01998,1.02005,1.02001,1.01993,1.01990,1.01993,1.01986,1.02001,1.01996,1.01984,0.00000
1.32000,0.00000,1.01984,1.01983,1.01983,1.01997,1.01990,1.02002,1.01998,1.01995,1.02001,1.01999,1.01990,1.01998,1.01986,1.01996,1.01975,1.02005,0.00000
1.33000,0.00000,1.01989,1.02004,1.01999,1.01992,1.02006,1.01986,1.01988,1.01995,1.02006,1.01988,1.01995,1.01988,1.02001,1.01996,1.02001,1.02000,0.00000
1.34000,0.00000,1.02010,1.02004,1.02015,1.02007,1.02017,1.02002,1.02009,1.02010,1.02006,1.02014,1.02000,1.02003,1.01996,1.01996,1.02001,1.02005,0.00000
1.35000,0.00000,1.02061,1.02073,1.02020,1.02043,1.02090,1.02028,1.02014,1.02021,1.02049,1.02029,1.02030,1.02036,1.01996,1.01996,1.01996,1.01995,0.00000
1.36000,0.00000,1.02147,1.02168,1.02084,1.02124,1.02211,1.02069,1.02065,1.02089,1.02096,1.02086,1.02096,1.02109,1.01991,1.02001,1.01996,1.01989,0.00000
1.37000,0.00000,1.02233,1.02268,1.02174,1.02210,1.02295,1.02110,1.02136,1.02147,1.02176,1.02163,1.02162,1.02196,1.01996,1.01996,1.01991,1.01995,0.00000
1.38000,0.00000,1.02289,1.02289,1.02237,1.02271,1.02274,1.02157,1.02182,1.02220,1.02239,1.02230,1.02218,1.02234,1.02001,1.01996,1.01996,1.02011,0.00000
1.39000,0.00000,1.02233,1.02205,1.02243,1.02220,1.02180,1.02183,1.02193,1.02199,1.02218,1.02225,1.02213,1.02220,1.01996,1.01996,1.01996,1.02000,0.00000
1.40000,0.00000,1.02162,1.02120,1.02184,1.02169,1.02048,1.02162,1.02162,1.02163,1.02176,1.02173,1.02167,1.02147,1.01991,1.01996,1.02001,1.01989,0.00000
