Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 12.02.2019	Time: 09:45:10

Name:	Aluminium
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
09:22:43.2	1.4167	2.5719	4.7224	137.1668	1.0000
09:22:44.2	1.4289	2.5659	4.7631	136.8471	1.0000
09:22:45.2	1.4533	2.5659	4.8445	136.8471	1.0000
09:22:46.2	1.4533	2.5599	4.8445	136.5274	1.0000
09:22:47.2	1.5022	2.5719	5.0073	137.1668	1.0000
09:22:48.2	1.5266	2.5779	5.0887	137.4866	1.0000
09:22:49.2	1.5388	2.6078	5.1295	139.0852	1.0000
09:22:50.2	1.5755	2.5719	5.2516	137.1668	1.0000
09:22:51.2	1.5877	2.5839	5.2923	137.8063	1.0000
09:22:56.2	1.6121	2.6078	5.3737	139.0852	1.0000
09:22:52.2	1.6243	2.6138	5.4144	139.4050	1.0000
09:22:53.2	1.6365	2.6138	5.4551	139.4050	1.0000
09:22:54.2	1.6365	2.5959	5.4551	138.4458	1.0000
09:22:55.2	1.6488	2.6258	5.4958	140.0445	1.0000
09:22:57.2	1.6610	2.6198	5.5366	139.7247	1.0000
09:22:58.2	1.6610	2.6138	5.5366	139.4050	1.0000
09:22:59.2	1.6976	2.6198	5.6587	139.7247	1.0000
09:23:00.2	1.6976	2.6318	5.6587	140.3642	1.0000
09:23:01.2	1.7220	2.6438	5.7401	141.0037	1.0000
09:23:02.2	1.7587	2.6438	5.8622	141.0037	1.0000
09:23:03.2	1.7831	2.6258	5.9437	140.0445	1.0000
09:23:04.2	1.8075	2.6618	6.0251	141.9629	1.0000
09:23:05.2	1.8319	2.6558	6.1065	141.6431	1.0000
09:23:06.2	1.8686	2.6558	6.2286	141.6431	1.0000
09:23:07.2	1.8808	2.6618	6.2693	141.9629	1.0000
09:23:08.2	1.9052	2.6498	6.3508	141.3234	1.0000
09:23:09.2	1.9174	2.6558	6.3915	141.6431	1.0000
09:23:10.2	1.9541	2.6618	6.5136	141.9629	1.0000
09:23:11.2	1.9663	2.6738	6.5543	142.6023	1.0000
09:23:12.2	1.9785	2.6978	6.5950	143.8813	1.0000
09:23:14.2	2.0151	2.7038	6.7171	144.2010	1.0000
09:23:13.2	2.0274	2.6858	6.7579	143.2418	1.0000
09:23:16.2	2.0640	2.7038	6.8800	144.2010	1.0000
09:23:15.2	2.0762	2.6798	6.9207	142.9221	1.0000
09:23:17.2	2.1373	2.7277	7.1242	145.4800	1.0000
09:23:18.2	2.1373	2.7577	7.1242	147.0787	1.0000
09:23:19.2	2.1617	2.7457	7.2057	146.4392	1.0000
09:23:20.2	2.1617	2.7158	7.2057	144.8405	1.0000
09:23:21.2	2.2106	2.7457	7.3685	146.4392	1.0000
09:23:22.2	2.2350	2.7038	7.4499	144.2010	1.0000
09:23:23.2	2.2350	2.7337	7.4499	145.7997	1.0000
09:23:24.2	2.2838	2.7637	7.6128	147.3984	1.0000
09:23:25.2	2.2838	2.7218	7.6128	145.1602	1.0000
09:23:26.2	2.2960	2.7637	7.6535	147.3984	1.0000
09:23:27.2	2.3937	2.7577	7.9792	147.0787	1.0000
09:23:28.2	2.4060	2.7577	8.0199	147.0787	1.0000
09:23:30.2	2.4182	2.7757	8.0606	148.0379	1.0000
09:23:29.2	2.4304	2.7697	8.1013	147.7181	1.0000
09:23:32.2	2.4792	2.7937	8.2641	148.9971	1.0000
09:23:31.2	2.4915	2.8237	8.3048	150.5957	1.0000
09:23:34.2	2.4915	2.7937	8.3048	148.9971	1.0000
09:23:33.2	2.5281	2.8057	8.4270	149.6365	1.0000
09:23:35.2	2.5769	2.7997	8.5898	149.3168	1.0000
09:23:36.2	2.5769	2.7937	8.5898	148.9971	1.0000
09:23:37.2	2.5892	2.7577	8.6305	147.0787	1.0000
09:23:38.2	2.6136	2.7877	8.7119	148.6773	1.0000
09:23:39.2	2.6746	2.8297	8.9155	150.9155	1.0000
09:23:40.2	2.6746	2.7997	8.9155	149.3168	1.0000
09:24:22.2	2.6991	0.7314	8.9969	39.0078	1.0000
09:24:25.2	2.6991	0.5695	8.9969	30.3749	1.0000
09:24:26.2	2.6991	0.5935	8.9969	31.6539	1.0000
09:23:41.2	2.7113	2.8357	9.0376	151.2352	1.0000
09:24:18.2	2.7113	0.9352	9.0376	49.8788	1.0000
09:24:19.2	2.7113	0.8933	9.0376	47.6407	1.0000
09:24:23.2	2.7113	0.6774	9.0376	36.1302	1.0000
09:24:24.2	2.7113	0.6115	9.0376	32.6131	1.0000
09:24:27.2	2.7113	0.7494	9.0376	39.9670	1.0000
09:24:28.2	2.7113	0.8453	9.0376	45.0828	1.0000
09:24:29.2	2.7113	0.8873	9.0376	47.3210	1.0000
09:24:32.2	2.7113	1.1271	9.0376	60.1104	1.0000
09:24:20.2	2.7235	0.8453	9.0783	45.0828	1.0000
09:24:21.2	2.7235	0.8093	9.0783	43.1644	1.0000
09:23:42.2	2.7357	2.8057	9.1190	149.6365	1.0000
09:24:16.2	2.7357	1.0611	9.1190	56.5933	1.0000
09:24:17.2	2.7357	0.9892	9.1190	52.7565	1.0000
09:24:30.2	2.7357	0.9532	9.1190	50.8381	1.0000
09:23:44.2	2.7479	2.8057	9.1597	149.6365	1.0000
09:24:31.2	2.7479	1.0431	9.1597	55.6341	1.0000
09:24:34.2	2.7479	1.3489	9.1597	71.9406	1.0000
09:23:43.2	2.7601	2.8357	9.2005	151.2352	1.0000
09:24:13.2	2.7601	1.3309	9.2005	70.9814	1.0000
09:24:14.2	2.7601	1.2650	9.2005	67.4643	1.0000
09:24:15.2	2.7601	1.1511	9.2005	61.3894	1.0000
09:24:33.2	2.7601	1.2170	9.2005	64.9064	1.0000
09:24:35.2	2.7601	1.4688	9.2005	78.3354	1.0000
09:24:36.2	2.7601	1.5827	9.2005	84.4104	1.0000
09:24:37.2	2.7601	1.7086	9.2005	91.1248	1.0000
09:23:45.2	2.7723	2.8237	9.2412	150.5957	1.0000
09:24:10.2	2.7723	1.5287	9.2412	81.5327	1.0000
09:24:12.2	2.7723	1.3849	9.2412	73.8591	1.0000
09:24:38.2	2.7723	1.8225	9.2412	97.1998	1.0000
09:24:08.2	2.7968	1.7026	9.3226	90.8051	1.0000
09:24:11.2	2.7968	1.4508	9.3226	77.3762	1.0000
09:23:46.2	2.8090	2.8237	9.3633	150.5957	1.0000
09:24:09.2	2.8090	1.6127	9.3633	86.0090	1.0000
09:23:47.2	2.8212	2.8477	9.4040	151.8747	1.0000
09:24:06.2	2.8334	1.8465	9.4447	98.4787	1.0000
09:24:07.2	2.8334	1.7685	9.4447	94.3222	1.0000
09:24:39.2	2.8334	1.9304	9.4447	102.9551	1.0000
09:23:48.2	2.8456	2.8237	9.4854	150.5957	1.0000
09:24:03.2	2.8456	2.1702	9.4854	115.7445	1.0000
09:24:05.2	2.8456	1.9484	9.4854	103.9143	1.0000
09:23:50.2	2.8578	2.8477	9.5261	151.8747	1.0000
09:24:00.2	2.8578	2.3501	9.5261	125.3366	1.0000
09:24:01.2	2.8578	2.2961	9.5261	122.4590	1.0000
09:24:02.2	2.8578	2.2422	9.5261	119.5813	1.0000
09:24:40.2	2.8578	2.0443	9.5261	109.0300	1.0000
09:24:41.2	2.8578	2.1822	9.5261	116.3840	1.0000
09:23:52.2	2.8701	2.8177	9.5668	150.2760	1.0000
09:24:04.2	2.8701	2.0443	9.5668	109.0300	1.0000
09:23:49.2	2.8823	2.8297	9.6076	150.9155	1.0000
09:23:53.2	2.8823	2.8177	9.6076	150.2760	1.0000
09:23:56.2	2.8945	2.8297	9.6483	150.9155	1.0000
09:24:42.2	2.8945	2.2841	9.6483	121.8195	1.0000
09:24:43.2	2.8945	2.4040	9.6483	128.2142	1.0000
09:23:51.2	2.9067	2.8417	9.6890	151.5550	1.0000
09:23:59.2	2.9067	2.3920	9.6890	127.5747	1.0000
09:24:45.2	2.9067	2.7158	9.6890	144.8405	1.0000
09:23:57.2	2.9189	2.6318	9.7297	140.3642	1.0000
09:23:58.2	2.9189	2.4700	9.7297	131.7313	1.0000
09:24:44.2	2.9189	2.5659	9.7297	136.8471	1.0000
09:23:54.2	2.9311	2.8357	9.7704	151.2352	1.0000
09:23:55.2	2.9311	2.8357	9.7704	151.2352	1.0000
09:24:48.2	2.9433	2.8716	9.8111	153.1536	1.0000
09:24:46.7	2.9555	2.8956	9.8518	154.4326	1.0000
09:24:49.2	2.9555	2.8656	9.8518	152.8339	1.0000
09:24:47.2	2.9678	2.8716	9.8925	153.1536	1.0000
09:24:50.2	2.9800	2.8536	9.9332	152.1944	1.0000
09:24:51.2	3.0166	2.8656	10.0554	152.8339	1.0000
09:24:52.2	3.0410	2.9016	10.1368	154.7523	1.0000
09:24:53.2	3.0655	2.8836	10.2182	153.7931	1.0000
09:24:54.2	3.0899	2.8776	10.2996	153.4734	1.0000
09:24:56.2	3.1143	2.8776	10.3810	153.4734	1.0000
09:24:57.2	3.1387	2.9076	10.4625	155.0721	1.0000
09:24:55.2	3.1632	2.8956	10.5439	154.4326	1.0000
09:24:58.2	3.1632	2.8716	10.5439	153.1536	1.0000
09:24:59.2	3.1754	2.9076	10.5846	155.0721	1.0000
09:25:00.2	3.1876	2.8716	10.6253	153.1536	1.0000
09:25:01.2	3.2242	2.9016	10.7474	154.7523	1.0000
09:25:02.2	3.2487	2.8956	10.8289	154.4326	1.0000
09:25:03.2	3.3219	2.9136	11.0731	155.3918	1.0000
09:25:04.2	3.3341	2.8896	11.1138	154.1128	1.0000
09:25:05.2	3.3341	2.8656	11.1138	152.8339	1.0000
09:25:07.2	3.3586	2.8836	11.1952	153.7931	1.0000
09:25:06.2	3.3708	2.8836	11.2360	153.7931	1.0000
09:25:08.2	3.4074	2.8716	11.3581	153.1536	1.0000
09:25:09.2	3.4319	2.8896	11.4395	154.1128	1.0000
09:25:13.2	3.4319	2.8477	11.4395	151.8747	1.0000
09:25:10.2	3.4441	2.8716	11.4802	153.1536	1.0000
09:25:12.2	3.4441	2.8357	11.4802	151.2352	1.0000
09:25:11.2	3.4929	2.8536	11.6431	152.1944	1.0000
09:25:14.2	3.4929	2.8477	11.6431	151.8747	1.0000
09:25:15.2	3.5173	2.8836	11.7245	153.7931	1.0000
09:25:16.2	3.5296	2.8896	11.7652	154.1128	1.0000
09:25:17.2	3.5662	2.9076	11.8873	155.0721	1.0000
09:25:18.2	3.5906	2.8896	11.9687	154.1128	1.0000
09:25:20.2	3.6395	2.8956	12.1316	154.4326	1.0000
09:25:19.2	3.7005	2.9136	12.3351	155.3918	1.0000
09:25:22.2	3.7128	2.9076	12.3758	155.0721	1.0000
09:25:21.2	3.7250	2.9136	12.4165	155.3918	1.0000
09:25:23.2	3.7738	2.8896	12.5794	154.1128	1.0000
09:25:24.2	3.7738	2.9316	12.5794	156.3510	1.0000
09:25:25.2	3.8105	2.9076	12.7015	155.0721	1.0000
09:25:26.2	3.8227	2.9496	12.7422	157.3102	1.0000
09:25:28.2	3.8227	2.9016	12.7422	154.7523	1.0000
09:25:29.2	3.8349	2.9556	12.7829	157.6299	1.0000
09:25:27.2	3.8715	2.9436	12.9051	156.9905	1.0000
09:25:30.2	3.8959	2.9436	12.9865	156.9905	1.0000
09:25:31.2	3.9204	2.9136	13.0679	155.3918	1.0000
09:25:32.2	3.9326	2.9316	13.1086	156.3510	1.0000
09:25:33.2	3.9692	2.9316	13.2307	156.3510	1.0000
09:25:34.2	3.9692	2.9136	13.2307	155.3918	1.0000
09:25:35.2	4.0425	2.9316	13.4750	156.3510	1.0000
09:25:36.2	4.0547	2.9316	13.5157	156.3510	1.0000
09:25:37.2	4.0914	2.9376	13.6378	156.6707	1.0000
09:25:38.2	4.1158	2.9616	13.7193	157.9497	1.0000
09:25:39.2	4.1524	2.9556	13.8414	157.6299	1.0000
09:25:40.2	4.1891	2.9196	13.9635	155.7115	1.0000
09:25:41.2	4.2257	2.9616	14.0857	157.9497	1.0000
