 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise =100     First strip =  1
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15714     Clsurf  =  -0.06834
     CYsurf  =   0.00034     Cmsurf  =  -0.13141
     CDsurf  =   0.00564     Cnsurf  =  -0.00010
     CDisurf =   0.00277     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01129
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   0.1519   0.1406   0.0008   0.0473   0.0321   0.3605   0.3363   0.0117   0.0058  -0.0511  -0.1286    0.402
    45   0.1577   0.1392   0.0008   0.0470   0.0321   0.3615   0.3373   0.0102   0.0058  -0.0510  -0.1287    0.401
    46   0.1637   0.1379   0.0008   0.0466   0.0320   0.3624   0.3381   0.0134   0.0058  -0.0509  -0.1289    0.401
    47   0.1696   0.1365   0.0008   0.0463   0.0320   0.3633   0.3390   0.0121   0.0058  -0.0508  -0.1290    0.400
    48   0.1756   0.1351   0.0008   0.0459   0.0320   0.3641   0.3397   0.0114   0.0058  -0.0507  -0.1291    0.399
    49   0.1815   0.1338   0.0008   0.0455   0.0320   0.3649   0.3404   0.0109   0.0058  -0.0507  -0.1291    0.399
    50   0.1875   0.1324   0.0008   0.0451   0.0321   0.3654   0.3409   0.0130   0.0057  -0.0506  -0.1292    0.398
    51   0.1935   0.1310   0.0008   0.0447   0.0321   0.3659   0.3414   0.0136   0.0057  -0.0504  -0.1292    0.398
    52   0.1995   0.1296   0.0008   0.0443   0.0322   0.3663   0.3417   0.0139   0.0057  -0.0503  -0.1291    0.397
    53   0.2054   0.1283   0.0008   0.0439   0.0322   0.3666   0.3420   0.0135   0.0057  -0.0502  -0.1291    0.397
    54   0.2114   0.1269   0.0008   0.0434   0.0324   0.3669   0.3424   0.0086   0.0057  -0.0501  -0.1291    0.396
    55   0.2173   0.1255   0.0007   0.0430   0.0325   0.3669   0.3423   0.0106   0.0057  -0.0500  -0.1289    0.396
    56   0.2233   0.1242   0.0007   0.0425   0.0327   0.3668   0.3422   0.0103   0.0056  -0.0499  -0.1288    0.396
    57   0.2291   0.1228   0.0007   0.0420   0.0328   0.3666   0.3420   0.0103   0.0056  -0.0497  -0.1286    0.395
    58   0.2350   0.1215   0.0007   0.0415   0.0331   0.3661   0.3416   0.0112   0.0056  -0.0495  -0.1283    0.395
    59   0.2408   0.1201   0.0007   0.0410   0.0333   0.3656   0.3411   0.0102   0.0056  -0.0494  -0.1281    0.395
    60   0.2465   0.1188   0.0007   0.0404   0.0336   0.3648   0.3404   0.0108   0.0056  -0.0492  -0.1277    0.394
    61   0.2522   0.1175   0.0007   0.0399   0.0340   0.3639   0.3396   0.0095   0.0055  -0.0490  -0.1273    0.394
    62   0.2578   0.1162   0.0007   0.0393   0.0343   0.3627   0.3384   0.0116   0.0055  -0.0487  -0.1269    0.394
    63   0.2634   0.1149   0.0006   0.0387   0.0347   0.3614   0.3372   0.0113   0.0055  -0.0485  -0.1263    0.394
    64   0.2689   0.1136   0.0006   0.0381   0.0352   0.3598   0.3357   0.0104   0.0055  -0.0482  -0.1257    0.394
    65   0.2743   0.1124   0.0006   0.0375   0.0357   0.3580   0.3341   0.0095   0.0055  -0.0479  -0.1250    0.394
    66   0.2796   0.1112   0.0006   0.0369   0.0363   0.3559   0.3321   0.0109   0.0055  -0.0476  -0.1243    0.393
    67   0.2849   0.1099   0.0006   0.0363   0.0369   0.3536   0.3300   0.0081   0.0054  -0.0473  -0.1234    0.393
    68   0.2900   0.1088   0.0006   0.0356   0.0375   0.3510   0.3275   0.0074   0.0054  -0.0469  -0.1225    0.393
    69   0.2951   0.1076   0.0005   0.0349   0.0382   0.3478   0.3245   0.0136   0.0054  -0.0465  -0.1214    0.393
    70   0.3000   0.1065   0.0005   0.0342   0.0390   0.3446   0.3215   0.0109   0.0054  -0.0460  -0.1202    0.393
    71   0.3049   0.1053   0.0005   0.0335   0.0398   0.3409   0.3181   0.0106   0.0054  -0.0455  -0.1190    0.393
    72   0.3096   0.1043   0.0005   0.0328   0.0407   0.3369   0.3144   0.0092   0.0053  -0.0450  -0.1176    0.393
    73   0.3142   0.1032   0.0005   0.0320   0.0417   0.3325   0.3102   0.0098   0.0053  -0.0444  -0.1160    0.393
    74   0.3187   0.1022   0.0005   0.0312   0.0427   0.3275   0.3056   0.0125   0.0053  -0.0438  -0.1144    0.393
    75   0.3231   0.1011   0.0004   0.0304   0.0438   0.3222   0.3007   0.0119   0.0053  -0.0431  -0.1125    0.393
    76   0.3273   0.1002   0.0004   0.0296   0.0449   0.3165   0.2954   0.0093   0.0053  -0.0424  -0.1105    0.393
    77   0.3314   0.0992   0.0004   0.0287   0.0461   0.3103   0.2895   0.0091   0.0052  -0.0416  -0.1084    0.394
    78   0.3354   0.0983   0.0004   0.0278   0.0473   0.3034   0.2831   0.0110   0.0052  -0.0407  -0.1061    0.394
    79   0.3392   0.0974   0.0004   0.0269   0.0486   0.2961   0.2763   0.0110   0.0052  -0.0398  -0.1035    0.394
    80   0.3428   0.0966   0.0003   0.0260   0.0500   0.2882   0.2689   0.0127   0.0052  -0.0388  -0.1008    0.394
    81   0.3464   0.0958   0.0003   0.0250   0.0514   0.2798   0.2611   0.0101   0.0052  -0.0377  -0.0979    0.394
    82   0.3497   0.0950   0.0003   0.0240   0.0528   0.2709   0.2527   0.0081   0.0052  -0.0365  -0.0948    0.394
    83   0.3529   0.0943   0.0003   0.0230   0.0543   0.2611   0.2437   0.0098   0.0052  -0.0353  -0.0915    0.395
    84   0.3560   0.0936   0.0003   0.0219   0.0558   0.2509   0.2341   0.0096   0.0052  -0.0339  -0.0880    0.395
    85   0.3589   0.0929   0.0003   0.0208   0.0574   0.2401   0.2240   0.0059   0.0052  -0.0325  -0.0842    0.395
