#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.63034  0.37740  0.09341  1.32140  0.001375  0.000407  0.000380     3.377
   0.63823  0.36951  0.09364  1.32519  0.001327  0.000400  0.000449     3.316
   0.64611  0.36164  0.09382  1.32900  0.001282  0.000393  0.000518     3.261
   0.65395  0.35379  0.09397  1.33278  0.001241  0.000386  0.000588     3.212
   0.66177  0.34597  0.09407  1.33654  0.001202  0.000379  0.000657     3.168
   0.66957  0.33817  0.09414  1.34034  0.001164  0.000373  0.000732     3.124
   0.67734  0.33040  0.09415  1.34392  0.001132  0.000366  0.000794     3.092
   0.68509  0.32265  0.09413  1.34760  0.001098  0.000359  0.000868     3.056
   0.69281  0.31493  0.09406  1.35109  0.001068  0.000353  0.000932     3.029
   0.70051  0.30724  0.09395  1.35460  0.001039  0.000346  0.001003     3.000
   0.70818  0.29957  0.09379  1.35797  0.001011  0.000340  0.001069     2.976
   0.71582  0.29193  0.09358  1.36129  0.000985  0.000334  0.001137     2.952
   0.72343  0.28432  0.09333  1.36454  0.000959  0.000327  0.001207     2.930
   0.73102  0.27674  0.09303  1.36763  0.000936  0.000321  0.001271     2.912
   0.73858  0.26919  0.09269  1.37067  0.000912  0.000315  0.001337     2.895
   0.74610  0.26168  0.09230  1.37364  0.000890  0.000309  0.001404     2.879
   0.75359  0.25420  0.09186  1.37661  0.000867  0.000303  0.001479     2.861
   0.76104  0.24677  0.09137  1.37928  0.000847  0.000297  0.001539     2.850
   0.76845  0.23938  0.09083  1.38216  0.000824  0.000291  0.001622     2.831
   0.77581  0.23203  0.09025  1.38472  0.000805  0.000285  0.001691     2.819
   0.78313  0.22474  0.08962  1.38734  0.000783  0.000279  0.001775     2.803
   0.79040  0.21751  0.08894  1.38971  0.000764  0.000274  0.001850     2.792
   0.79761  0.21033  0.08821  1.39194  0.000745  0.000268  0.001924     2.781
   0.80477  0.20322  0.08743  1.39419  0.000726  0.000262  0.002011     2.768
   0.81187  0.19617  0.08660  1.39615  0.000708  0.000257  0.002086     2.759
   0.81890  0.18919  0.08572  1.39816  0.000690  0.000251  0.002179     2.747
   0.82586  0.18229  0.08480  1.39988  0.000672  0.000246  0.002262     2.738
   0.83275  0.17547  0.08383  1.40141  0.000656  0.000240  0.002340     2.731
   0.83955  0.16875  0.08281  1.40288  0.000639  0.000235  0.002426     2.723
   0.84627  0.16212  0.08175  1.40410  0.000624  0.000229  0.002501     2.719
   0.85288  0.15559  0.08064  1.40548  0.000607  0.000224  0.002602     2.709
   0.85939  0.14919  0.07950  1.40670  0.000590  0.000218  0.002711     2.699
   0.86578  0.14291  0.07831  1.40765  0.000573  0.000213  0.002817     2.691
   0.87204  0.13676  0.07709  1.40836  0.000558  0.000208  0.002920     2.683
   0.87818  0.13076  0.07584  1.40898  0.000542  0.000203  0.003038     2.674
   0.88417  0.12491  0.07456  1.40931  0.000527  0.000198  0.003151     2.667
   0.89001  0.11921  0.07325  1.40926  0.000513  0.000193  0.003246     2.664
   0.89571  0.11367  0.07192  1.40936  0.000498  0.000188  0.003377     2.655
   0.90124  0.10831  0.07057  1.40916  0.000484  0.000183  0.003509     2.647
   0.90661  0.10312  0.06920  1.40832  0.000472  0.000178  0.003590     2.648
   0.91181  0.09810  0.06782  1.40785  0.000458  0.000173  0.003727     2.640
   0.91683  0.09328  0.06644  1.40673  0.000447  0.000169  0.003807     2.643
   0.92168  0.08863  0.06505  1.40608  0.000433  0.000164  0.003956     2.635
   0.92634  0.08418  0.06367  1.40514  0.000420  0.000160  0.004106     2.628
   0.93083  0.07991  0.06229  1.40383  0.000408  0.000156  0.004241     2.624
   0.93514  0.07582  0.06091  1.40274  0.000395  0.000151  0.004447     2.610
   0.93928  0.07191  0.05954  1.40057  0.000385  0.000147  0.004556     2.610
   0.94325  0.06818  0.05819  1.39883  0.000372  0.000143  0.004750     2.600
   0.94706  0.06462  0.05685  1.39638  0.000362  0.000139  0.004894     2.596
   0.95071  0.06122  0.05552  1.39381  0.000352  0.000136  0.005046     2.592
   0.95421  0.05798  0.05421  1.39125  0.000341  0.000132  0.005242     2.584
   0.95756  0.05489  0.05291  1.38832  0.000330  0.000128  0.005440     2.576
   0.96077  0.05194  0.05163  1.38480  0.000321  0.000125  0.005598     2.572
   0.96386  0.04913  0.05036  1.38136  0.000311  0.000121  0.005815     2.563
   0.96681  0.04645  0.04911  1.37713  0.000303  0.000118  0.005956     2.562
   0.96965  0.04389  0.04787  1.37303  0.000294  0.000115  0.006146     2.556
   0.97237  0.04146  0.04666  1.36852  0.000286  0.000112  0.006312     2.554
