"Plane Section_0.25: Direction [1,0,0] (m)",Plane Section_0.25: Pressure Coefficient,,
0.030859903,0.924492438,0.030942449,0.765232884
0.030883929,0.920690193,0.031035288,0.748877856
0.031060385,0.866460954,0.031271307,0.493507057
0.031387176,0.672115296,0.031765097,0.219415472
0.031580006,0.642638808,0.032068275,0.118390375
0.031953177,0.468640508,0.032346629,-0.106366653
0.032805687,0.230158704,0.032897315,-0.20670339
0.034035261,0.056003829,0.033220624,-0.296090886
0.035505746,-0.075869841,0.033592281,-0.325274275
0.036998696,-0.14294883,0.034410792,-0.369108856
0.038551161,-0.206688662,0.035401717,-0.4158019
0.040900095,-0.22440527,0.036528989,-0.501703304
0.044674957,-0.257032469,0.038322696,-0.574755744
0.050372345,-0.253542786,0.040388563,-0.633847697
0.057541751,-0.238610579,0.043310384,-0.661388032
0.065737221,-0.208140143,0.046741749,-0.690961125
0.075280238,-0.165324298,0.050989933,-0.71163584
0.080588997,-0.149596537,0.057859958,-0.723053683
0.085965393,-0.128448172,0.064771845,-0.71699336
0.097187964,-0.10047451,0.073249835,-0.672914319
0.108269407,-0.071377408,0.082794083,-0.621486967
0.118036036,-0.042569772,0.090732342,-0.577117188
0.127396837,-0.015287562,0.098149425,-0.515805998
0.136621157,0.01032469,0.106627513,-0.447935802
0.145639325,0.038091677,0.11662217,-0.382423964
0.153726669,0.061570253,0.126382294,-0.317678555
0.158477469,0.085689754,0.134250648,-0.262484294
0.160437818,0.086245308,0.141468982,-0.210025413
0.165171838,0.112647475,0.149868538,-0.146887503
0.168975414,0.142707309,0.157512068,-0.080998809
0.170416127,0.137725677,0.163331045,-0.020506452
0.173577857,0.16516356,0.167983034,0.031260002
0.175859549,0.18861939,0.172405931,0.090251243
0.177021877,0.190381442,0.176323379,0.133059572
0.178290887,0.22208749,0.178492074,0.177904423
0.178953411,-0.029939234,0.178953411,-0.120930649
