51.35012, -0.46803
51.35031, -0.46797
51.35231, -0.46744
51.35269, -0.46736
51.35354, -0.4672
51.3536, -0.46718
51.35367, -0.46718
51.35373, -0.46719
51.3538, -0.46722
51.35386, -0.46726
51.35392, -0.46731
51.35396, -0.46737
51.354, -0.46744
51.35404, -0.46752
51.35406, -0.46759
51.35408, -0.46767
51.3541, -0.46775
51.3541, -0.46784
51.3541, -0.46792
51.3541, -0.468
51.35409, -0.46809
51.35407, -0.46817
51.35405, -0.46825
51.35401, -0.46833
51.35397, -0.4684
51.35393, -0.46846
51.35388, -0.46851
51.35384, -0.46855
51.35379, -0.46858
51.35372, -0.46861
51.3535, -0.46864
