IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 11:15:27 26-11-2020
Barometric pressure: 1.0199 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
2.34300,1.02070,1.09007,6.05945
2.35300,1.01979,1.09007,6.07938
2.37400,1.02040,1.09007,6.08191
2.38400,1.01979,1.09007,6.08954
2.39400,1.02070,1.09007,6.11085
2.41700,1.02100,1.09007,6.11197
2.42700,1.01979,1.09007,6.11756
2.43700,1.02252,1.09007,6.13804
2.46300,1.02100,1.09007,6.13827
2.47300,1.02131,1.09007,6.14286
2.48300,1.01858,1.09007,6.16830
2.51000,1.02040,1.09007,6.17225
2.52000,1.02222,1.09007,6.19239
2.54300,1.02040,1.09007,6.19437
2.55300,1.02100,1.09007,6.20011
2.56300,1.02100,1.09007,6.21650
2.58400,1.02161,1.09007,6.21867
2.59400,1.02100,1.09007,6.22377
2.60400,1.02192,1.09007,6.24334
2.62700,1.02070,1.09007,6.24506
2.63700,1.02009,1.09007,6.25252
2.64700,1.02222,1.09007,6.27371
2.67200,1.02131,1.09007,6.27586
2.68200,1.01888,1.09007,6.28386
2.69200,1.01949,1.09007,6.30594
2.71500,1.02192,1.09007,6.30859
2.72600,1.01918,1.09007,6.31802
2.73700,1.02131,1.09007,6.33587
2.75400,1.02192,1.09007,6.33294
2.76400,1.02040,1.09007,6.33791
2.77500,1.01918,1.09007,6.36122
2.79700,1.02100,1.09007,6.36277
2.80700,1.02252,1.09007,6.36747
2.81700,1.02070,1.09007,6.39322
2.84800,1.02070,1.09007,6.39385
2.85900,1.02192,1.09007,6.39854
2.88100,1.02070,1.09007,6.41444
2.89100,1.02131,1.09007,6.42096
2.90100,1.02283,1.09007,6.43028
2.93000,1.02192,1.09007,6.44287
2.94000,1.02222,1.09007,6.45220
2.95100,1.02131,1.09007,6.46734
2.97300,1.02161,1.09007,6.46998
2.98300,1.02131,1.09007,6.47703
2.99300,1.02131,1.09007,6.49862
3.01500,1.01979,1.09007,6.50314
3.02500,1.02100,1.09007,6.51061
3.03600,1.02222,1.09007,6.53145
3.05900,1.02192,1.09007,6.53151
3.06900,1.02100,1.09007,6.53634
3.07900,1.02070,1.09007,6.55452
3.10000,1.02222,1.09007,6.55626
3.11100,1.02131,1.09007,6.56426
3.12100,1.02313,1.09007,6.56934
3.14200,1.02283,1.09007,6.58028
3.15200,1.02222,1.09007,6.58346
3.16300,1.02283,1.09007,6.59198
3.19000,1.02192,1.09007,6.60712
3.20000,1.02222,1.09007,6.61513
3.21000,1.02252,1.09007,6.63368
3.23100,1.02131,1.09007,6.63677
3.24100,1.02161,1.09007,6.64430
3.25100,1.02283,1.09007,6.66405
3.27400,1.02192,1.09007,6.66612
3.28400,1.02252,1.09007,6.67221
3.29400,1.02161,1.09007,6.68828
3.31300,1.02222,1.09007,6.69039
3.32300,1.02131,1.09007,6.69767
3.33400,1.02192,1.09007,6.70630
3.35800,1.02100,1.09007,6.72410
3.36800,1.02222,1.09007,6.72950
3.37800,1.02100,1.09007,6.75452
3.40600,1.02222,1.09007,6.75611
3.41600,1.02192,1.09007,6.76191
3.43700,1.02283,1.09007,6.77394
3.44700,1.02192,1.09007,6.77895
3.45800,1.02192,1.09007,6.78600
3.47700,1.02252,1.09007,6.79874
3.48700,1.02192,1.09007,6.80350
3.49700,1.02131,1.09007,6.81224
3.50700,1.02222,1.09007,6.83065
3.52700,1.02252,1.09007,6.83285
3.53700,1.02313,1.09007,6.83636
3.54700,1.02192,1.09007,6.85990
3.57700,1.02252,1.09007,6.86141
3.58700,1.02283,1.09007,6.88027
3.61000,1.02283,1.09007,6.88208
3.62000,1.02313,1.09007,6.88666
3.63000,1.02222,1.09007,6.90405
3.65000,1.02192,1.09007,6.90701
3.66000,1.02192,1.09007,6.91442
3.67100,1.02252,1.09007,6.92334
3.69200,1.02252,1.09007,6.94006
3.70200,1.02131,1.09007,6.94385
3.71300,1.02161,1.09007,6.95240
3.73500,1.02283,1.09007,6.96711
3.74500,1.02222,1.09007,6.97244
3.75600,1.02252,1.09007,6.98029
3.77900,1.02283,1.09007,6.99310
3.78900,1.02252,1.09007,6.99733
3.79900,1.02343,1.09007,7.01009
3.83000,1.02283,1.09007,7.02243
3.84100,1.02283,1.09007,7.03177
3.86800,1.02343,1.09007,7.04642
3.87800,1.02222,1.09007,7.05253
3.88900,1.02313,1.09007,7.07450
3.91300,1.02192,1.09007,7.07722
3.92300,1.02283,1.09007,7.08401
3.93300,1.02222,1.09007,7.12379
3.98800,1.02222,1.09007,7.13799
4.00700,1.02283,1.09007,7.14008
4.01700,1.02283,1.09007,7.14497
4.02700,1.02161,1.09007,7.15555
4.05300,1.02222,1.09007,7.17024
4.06300,1.02313,1.09007,7.17623
4.07300,1.02283,1.09007,7.18315
4.09600,1.02222,1.09007,7.19788
4.10600,1.02313,1.09007,7.20214
4.11600,1.02374,1.09007,7.20768
4.14000,1.02252,1.09007,7.22251
4.15000,1.02313,1.09007,7.22778
4.16000,1.02283,1.09007,7.23426
4.18100,1.02404,1.09007,7.24739
4.19100,1.02313,1.09007,7.25282
4.20100,1.02434,1.09007,7.25858
4.22500,1.02374,1.09007,7.27230
4.23500,1.02313,1.09007,7.27724
4.24500,1.02434,1.09007,7.30243
4.27700,1.02343,1.09007,7.30404
4.28800,1.02313,1.09007,7.32968
4.31700,1.02283,1.09007,7.33258
4.32700,1.02343,1.09007,7.33903
4.33700,1.02343,1.09007,7.35601
4.35400,1.02283,1.09007,7.35771
4.36400,1.02465,1.09007,7.36254
4.37400,1.02374,1.09007,7.37935
4.39600,1.02374,1.09007,7.38069
4.40600,1.02313,1.09007,7.38617
4.41600,1.02374,1.09007,7.39323
4.44000,1.02343,1.09007,7.40982
4.45000,1.02495,1.09007,7.41447
4.46000,1.02495,1.09007,7.43236
4.48300,1.02374,1.09007,7.43215
4.49400,1.02252,1.09007,7.44018
4.50400,1.02526,1.09007,7.45638
4.52200,1.02526,1.09007,7.45716
4.53200,1.02283,1.09007,7.46399
4.54300,1.02404,1.09007,7.47108
4.56600,1.02586,1.09007,7.48363
4.57600,1.02434,1.09007,7.49296
4.58600,1.02374,1.09007,7.49728
4.60900,1.02434,1.09007,7.50981
4.61900,1.02283,1.09007,7.51776
4.62900,1.02313,1.09007,7.52984
4.65300,1.02465,1.09007,7.54399
4.66300,1.02495,1.09007,7.54889
4.67300,1.02313,1.09007,7.56587
4.69200,1.02313,1.09007,7.56681
4.70200,1.02526,1.09007,7.57136
4.71200,1.02434,1.09007,7.57972
4.74400,1.02313,1.09007,7.60041
4.75400,1.02556,1.09007,7.60298
4.76400,1.02313,1.09007,7.62050
4.78400,1.02343,1.09007,7.62502
4.79400,1.02526,1.09007,7.63029
4.80400,1.02343,1.09007,7.64790
4.82500,1.02313,1.09007,7.65208
4.83500,1.02586,1.09007,7.65520
4.84500,1.02495,1.09007,7.67155
4.86600,1.02404,1.09007,7.67362
4.87600,1.02586,1.09007,7.67618
4.88600,1.02586,1.09007,7.68086
4.91000,1.02556,1.09007,7.69546
4.92000,1.02526,1.09007,7.69912
4.93000,1.02617,1.09007,7.70537
4.96400,1.02465,1.09007,7.72686
4.97400,1.02526,1.09007,7.74605
4.99600,1.02586,1.09007,7.74764
5.00600,1.02526,1.09007,7.75341
5.01700,1.02495,1.09007,7.77228
5.03700,1.02526,1.09007,7.77373
5.04700,1.02617,1.09007,7.77816
5.05700,1.02556,1.09007,7.78470
5.08000,1.02495,1.09007,7.79948
5.09000,1.02465,1.09007,7.80560
5.10000,1.02495,1.09007,7.81377
5.12400,1.02556,1.09007,7.82977
5.13400,1.02586,1.09007,7.83404
5.14400,1.02556,1.09007,7.86930
5.19700,1.02495,1.09007,7.88348
5.21900,1.02556,1.09007,7.88573
5.22900,1.02495,1.09007,7.89217
5.23900,1.02738,1.09007,7.91516
5.27000,1.02526,1.09007,7.91576
5.28000,1.02617,1.09007,7.92141
5.30400,1.02465,1.09007,7.93580
5.31400,1.02738,1.09007,7.93997
5.32400,1.02738,1.09007,7.95768
5.34600,1.02738,1.09007,7.95581
5.35600,1.02495,1.09007,7.96137
5.36600,1.02434,1.09007,7.98037
5.38700,1.02647,1.09007,7.98584
5.39700,1.02617,1.09007,7.99265
5.40700,1.02556,1.09007,8.00111
5.43100,1.02738,1.09007,8.01261
5.44100,1.02738,1.09007,8.01377
5.45100,1.02556,1.09007,8.02119
5.47600,1.02526,1.09007,8.03740
5.48700,1.02677,1.09007,8.04310
5.49800,1.02738,1.09007,8.06125
5.51700,1.02617,1.09007,8.06250
5.52700,1.02556,1.09007,8.06800
5.53800,1.02768,1.09007,8.07302
5.55800,1.02829,1.09007,8.08403
5.56800,1.02617,1.09007,8.08868
5.57800,1.02617,1.09007,8.09615
5.61100,1.02829,1.09007,8.11312
5.62200,1.02768,1.09007,8.12096
5.64800,1.02768,1.09007,8.13562
5.65800,1.02738,1.09007,8.13879
5.66900,1.02647,1.09007,8.16128
5.69800,1.02586,1.09007,8.16642
5.70900,1.02768,1.09007,8.17552
5.73300,1.02829,1.09007,8.18804
5.74300,1.02890,1.09007,8.19064
5.75300,1.02768,1.09007,8.19456
5.80800,1.02677,1.09007,8.22820
5.83600,1.02890,1.09007,8.24287
5.84600,1.02738,1.09007,8.24921
5.85600,1.02829,1.09007,8.26730
5.87700,1.02586,1.09007,8.27064
5.88700,1.02860,1.09007,8.27491
5.89700,1.02860,1.09007,8.28109
5.91500,1.02920,1.09007,8.28967
5.92500,1.02829,1.09007,8.29342
5.93500,1.02799,1.09007,8.29730
5.94500,1.02768,1.09007,8.31641
5.96800,1.02981,1.09007,8.31793
5.97800,1.02890,1.09007,8.32317
5.98800,1.02647,1.09007,8.34038
6.00800,1.02677,1.09007,8.34425
6.01800,1.02981,1.09007,8.35006
6.02800,1.02768,1.09007,8.36836
6.04800,1.02738,1.09007,8.37084
6.05800,1.02890,1.09007,8.37335
6.06800,1.02951,1.09007,8.37823
6.09100,1.02617,1.09007,8.39323
6.10100,1.02586,1.09007,8.40127
6.11100,1.03072,1.09007,8.40826
6.13700,1.03163,1.09007,8.41888
6.14700,1.02890,1.09007,8.42109
6.15700,1.02920,1.09007,8.42700
6.19000,1.02829,1.09007,8.43947
6.20000,1.03224,1.09007,8.45745
6.22300,1.03376,1.09007,8.45538
6.23300,1.02647,1.09007,8.45938
6.24300,1.03163,1.09007,8.46487
6.27500,1.03254,1.09007,8.47926
6.28500,1.02526,1.09007,8.49288
6.30800,1.03072,1.09007,8.51012
6.31800,1.03072,1.09007,8.51116
6.32800,1.02890,1.09007,8.52140
6.35100,1.03011,1.09007,8.53551
6.36100,1.02890,1.09007,8.53740
6.37100,1.02890,1.09007,8.54625
6.39100,1.03042,1.09007,8.55825
6.40100,1.03072,1.09007,8.56196
6.41100,1.02890,1.09007,8.56952
6.43500,1.02768,1.09007,8.58296
6.44500,1.02981,1.09007,8.58968
6.45600,1.02890,1.09007,8.59949
6.48100,1.02768,1.09007,8.61668
6.49100,1.03133,1.09007,8.61889
6.50100,1.02951,1.09007,8.63415
6.52400,1.02829,1.09007,8.63697
6.53400,1.03072,1.09007,8.63997
6.54400,1.03224,1.09007,8.65301
6.56600,1.02981,1.09007,8.65444
6.57600,1.03163,1.09007,8.65634
6.58700,1.03345,1.09007,8.66688
6.60700,1.03285,1.09007,8.66550
6.61700,1.03133,1.09007,8.66997
6.62700,1.03376,1.09007,8.67219
6.65100,1.03345,1.09007,8.68335
6.66100,1.02829,1.09007,8.69322
6.67100,1.03133,1.09007,8.70740
6.70400,1.03467,1.09007,8.71966
6.71400,1.03072,1.09007,8.72752
6.73400,1.03436,1.09007,8.73607
6.74400,1.02860,1.09007,8.73888
6.75500,1.02890,1.09007,8.75311
6.77700,1.03133,1.09007,8.76929
6.78700,1.03285,1.09007,8.77419
6.79700,1.02920,1.09007,8.78183
6.80700,1.02920,1.09007,8.81642
6.86300,1.03254,1.09007,8.83466
6.89600,1.03345,1.09007,8.83435
6.90600,1.03558,1.09007,8.83368
6.92700,1.03831,1.09007,8.83207
6.93700,1.03345,1.09007,8.82860
6.94800,1.03072,1.09007,8.83625
6.97200,1.02920,1.09007,8.85742
6.98200,1.03436,1.09007,8.86966
6.99200,1.03315,1.09007,8.89001
7.01300,1.03285,1.09007,8.89056
7.02300,1.03163,1.09007,8.89225
7.03300,1.03285,1.09007,8.89632
7.05600,1.03497,1.09007,8.90855
7.06600,1.03072,1.09007,8.91459
7.07600,1.03163,1.09007,8.93348
7.09800,1.03467,1.09007,8.93290
7.10800,1.03315,1.09007,8.93716
7.11800,1.03345,1.09007,8.95353
7.14000,1.03194,1.09007,8.95276
7.15000,1.03254,1.09007,8.95852
7.16000,1.03710,1.09007,8.97772
7.19300,1.03436,1.09007,8.97676
7.20300,1.03224,1.09007,8.99354
7.22800,1.03406,1.09007,8.99323
7.23800,1.03436,1.09007,8.99822
7.24800,1.03406,1.09007,9.01641
7.26800,1.03345,1.09007,9.01831
7.27800,1.03467,1.09007,9.02050
7.28800,1.03345,1.09007,9.03763
7.31000,1.03497,1.09007,9.03843
7.32000,1.03345,1.09007,9.04294
7.33000,1.03376,1.09007,9.04929
7.35400,1.03467,1.09007,9.06258
7.36400,1.03345,1.09007,9.06708
7.37400,1.03285,1.09007,9.08598
7.39700,1.03224,1.09007,9.08951
7.40700,1.03436,1.09007,9.09593
7.41700,1.03558,1.09007,9.11615
7.44900,1.03588,1.09007,9.11338
7.45900,1.03497,1.09007,9.12476
7.48200,1.03619,1.09007,9.12235
7.49200,1.03102,1.09007,9.12914
7.50200,1.03285,1.09007,9.15112
7.52400,1.03679,1.09007,9.15334
7.53500,1.03345,1.09007,9.16038
7.54500,1.03163,1.09007,9.19587
7.60000,1.03315,1.09007,9.20703
7.62100,1.03770,1.09007,9.20605
7.63100,1.03558,1.09007,9.20984
7.64200,1.03436,1.09007,9.21203
7.66500,1.03376,1.09007,9.22178
7.67500,1.03740,1.09007,9.22472
7.68500,1.03649,1.09007,9.23477
7.71800,1.03497,1.09007,9.24752
7.72800,1.03740,1.09007,9.25870
7.75100,1.03619,1.09007,9.25777
7.76100,1.03467,1.09007,9.26539
7.77100,1.03679,1.09007,9.27880
7.79000,1.03649,1.09007,9.27871
7.80000,1.03649,1.09007,9.28457
7.81100,1.03740,1.09007,9.28831
7.83400,1.03467,1.09007,9.30078
7.84400,1.03224,1.09007,9.31032
7.85500,1.03163,1.09007,9.33513
7.87700,1.03649,1.09007,9.34060
7.88700,1.03710,1.09007,9.34403
7.89700,1.03558,1.09007,9.34616
7.92200,1.03588,1.09007,9.35240
7.93200,1.03467,1.09007,9.35437
7.94200,1.03619,1.09007,9.36356
7.96400,1.03740,1.09007,9.37278
7.97400,1.03770,1.09007,9.37420
7.98500,1.03588,1.09007,9.38246
8.01700,1.03649,1.09007,9.39306
8.02700,1.03679,1.09007,9.39973
8.05300,1.03588,1.09007,9.41419
8.06300,1.03740,1.31212,11.20606
8.18100,1.03740,1.31212,11.36261
8.24100,1.03801,1.31212,11.42928
8.26600,1.03649,1.31212,11.43876
8.27600,1.03254,1.31212,11.46923
8.28600,1.03862,1.31212,11.55059
8.30800,1.03831,1.31212,11.55730
8.31800,1.03801,1.31212,11.57708
8.32800,1.03649,1.31212,11.67123
8.35700,1.03740,1.31212,11.67813
8.36700,1.03710,1.31212,11.70935
8.39200,1.03862,1.31212,11.77026
8.40200,1.04135,1.31212,11.79438
8.41200,1.04074,1.31212,11.95015
8.47000,1.04226,1.31212,12.00804
8.49400,1.04135,1.31212,12.01168
8.50400,1.04287,1.31212,12.03320
8.51400,1.04469,1.31212,12.10876
8.53800,1.04499,1.31212,12.11045
8.54800,1.04530,1.31212,12.13063
8.55800,1.04408,1.31212,12.19305
8.57600,1.04530,1.31212,12.19861
8.58600,1.04651,1.31212,12.21707
8.59600,1.04621,1.31212,12.24315
8.61900,1.04681,1.31212,12.29898
8.62900,1.04712,1.31212,12.31782
8.63900,1.04833,1.31212,12.39579
8.66200,1.04985,1.31212,12.39600
8.67200,1.04833,1.31212,12.41712
8.68200,1.04803,1.31212,12.48845
8.70300,1.04803,1.31212,12.49534
8.71300,1.04560,1.31212,12.51965
8.72300,1.04864,1.31212,12.70287
8.78800,1.05076,1.31212,12.76854
8.81300,1.04894,1.31212,12.77584
8.82300,1.05106,1.31212,12.79318
8.83300,1.05228,1.31212,12.85271
8.85200,1.05380,1.31212,12.85380
8.86200,1.05501,1.31212,12.86615
8.87300,1.05744,1.31212,12.88452
8.89300,1.05562,1.31212,12.92583
8.90300,1.05410,1.31212,12.94487
8.91300,1.05471,1.31212,12.97907
8.94000,1.05957,1.31212,13.03772
8.95000,1.05926,1.31212,13.05533
8.96000,1.06078,1.31212,13.45035
9.12000,1.06139,1.31212,13.50452
9.14400,1.06169,1.31212,13.50328
9.15400,1.06321,1.31212,13.51958
9.16400,1.06412,1.31212,13.65955
9.22000,1.06564,1.31212,13.70774
9.24000,1.06534,1.31212,13.70817
9.25000,1.06777,1.31212,13.72179
9.26000,1.07050,1.31212,13.74020
9.29400,1.06837,1.31212,13.81014
9.30400,1.07050,1.31212,13.82410
9.32900,1.07323,1.31212,13.87477
9.33900,1.07687,1.31212,13.88660
9.34900,1.07748,1.31212,14.10605
9.44700,1.07839,1.31212,14.19591
9.49200,1.07900,1.31212,14.24252
9.51600,1.07930,1.31212,14.24378
9.52600,1.08507,1.31212,14.25643
9.53600,1.08629,1.31212,14.36293
9.58500,1.08841,1.31212,14.40265
9.60800,1.08872,1.31212,14.39308
9.61800,1.09600,1.31212,14.39269
9.62800,1.09813,1.31212,14.39404
9.65300,1.10147,1.31212,14.42426
9.66300,1.10876,1.31212,14.41329
9.67300,1.11908,1.31212,14.41370
9.70600,1.11908,1.31212,14.42500
9.71600,1.13001,1.31212,14.39721
9.90500,1.13335,1.31212,14.70614
9.93100,1.13609,1.31212,14.70936
9.94100,1.15400,1.31212,14.68093
9.95200,1.16463,1.31212,14.63606
9.97800,1.16736,1.31212,14.61734
9.98800,1.18558,1.31212,14.55561
9.99800,1.19590,1.31212,14.52953
10.03100,1.19803,1.31212,14.46781
10.04100,1.20137,1.31212,14.44290
10.06300,1.20441,1.31212,14.39734
10.07300,1.22931,1.31212,14.35579
10.08300,1.23507,1.31212,14.35592
10.13900,1.23841,1.31212,14.31554
10.16400,1.23872,1.31212,14.25666
10.17400,1.25451,1.31212,14.20497
10.18400,1.26362,1.31212,14.17804
10.20900,1.26696,1.31212,14.13028
10.21900,1.27910,1.31212,14.07394
10.22900,1.28882,1.31212,14.03592
10.29200,1.29155,1.31212,13.99030
10.31700,1.29368,1.31212,13.94377
10.32700,1.30734,1.31212,13.89418
10.33700,1.31311,1.31212,13.85292
10.36900,1.31433,1.31212,13.81224
10.37900,1.32495,1.31212,13.76516
10.40400,1.32799,1.31212,13.71780
10.41400,1.33710,1.31212,13.67621
10.42400,1.33983,1.31212,13.62918
10.44600,1.34196,1.31212,13.58983
10.45600,1.34439,1.31212,13.55849
10.46600,1.34408,1.31212,13.52615
10.49700,1.34530,1.31212,13.51417
10.50700,1.35411,1.31212,13.47763
10.56500,1.35502,1.31212,13.44960
10.58700,1.35501,1.31212,13.43003
10.59700,1.36716,1.31212,13.39570
10.60700,1.37050,1.31212,13.35307
10.63800,1.37019,1.31212,13.31482
10.64900,1.37293,1.31212,13.28046
10.67200,1.37293,1.31212,13.24487
10.68200,1.37566,1.31212,13.22978
10.69300,1.37657,1.31212,13.21286
10.72000,1.37627,1.31212,13.18795
10.73000,1.38052,1.31212,13.17174
10.74000,1.38052,1.31212,13.14445
10.75800,1.37779,1.31212,13.13825
10.76800,1.37961,1.31212,13.12769
10.77800,1.37748,1.31212,13.12067
10.80000,1.37687,1.31212,13.11103
10.81000,1.37809,1.31212,13.10978
10.82100,1.37748,1.31212,13.10354
10.84500,1.37445,1.31212,13.09382
10.85500,1.37505,1.31212,13.09238
10.86500,1.37475,1.31212,13.07700
10.88800,1.37566,1.31212,13.07947
10.89800,1.37687,1.31212,13.07386
10.90800,1.37566,1.31212,13.04765
10.94000,1.37566,1.31212,13.04456
10.95000,1.37566,1.31212,13.02712
10.97000,1.37293,1.31212,13.02893
10.98000,1.37232,1.31212,13.03003
10.99100,1.37536,1.31212,13.02545
11.01400,1.37505,1.31212,13.01202
11.02400,1.36959,1.31212,13.01152
11.03400,1.37111,1.31212,13.00878
11.05900,1.37080,1.31212,12.99881
11.06900,1.37171,1.31212,13.00076
11.07900,1.37353,1.31212,12.97993
11.10700,1.37353,1.31212,12.97306
11.11700,1.36989,1.31212,12.96613
11.14700,1.36837,1.31212,12.95263
11.15700,1.36959,1.31212,12.95380
11.16700,1.36989,1.31212,12.94511
11.18500,1.36777,1.31212,12.94942
11.19600,1.36777,1.31212,12.94711
11.20700,1.36716,1.31212,12.93228
11.23000,1.36564,1.31212,12.93657
11.24000,1.36655,1.31212,12.93616
11.25000,1.36443,1.31212,12.92530
11.27100,1.36534,1.31212,12.92856
11.28100,1.36443,1.31212,12.92705
11.29200,1.36443,1.31212,12.91441
11.31200,1.36534,1.31212,12.91469
11.32200,1.36291,1.31212,12.91173
11.33200,1.36412,1.31212,12.90844
11.35600,1.36169,1.31212,12.89910
11.36600,1.36048,1.31212,12.90163
11.37600,1.35896,1.31212,12.89498
11.39900,1.35957,1.31212,12.89999
11.40900,1.35774,1.31212,12.90391
11.41900,1.35714,1.31212,12.89640
11.44200,1.35592,1.31212,12.90106
11.45200,1.35805,1.31212,12.90092
11.46200,1.35501,1.31212,12.89295
11.48300,1.35592,1.31212,12.89490
11.49300,1.35228,1.31212,12.89625
11.50300,1.35198,1.31212,12.89957
11.52600,1.35258,1.31212,12.89810
11.53600,1.35289,1.31212,12.89857
11.54700,1.35349,1.31212,12.88898
11.56900,1.35289,1.31212,12.88618
11.57900,1.35562,1.31212,12.87824
11.58900,1.35532,1.31212,12.85885
11.61800,1.35471,1.31212,12.85486
11.62800,1.35167,1.31212,12.85029
11.64900,1.34924,1.31212,12.84907
11.65900,1.34894,1.31212,12.85698
11.66900,1.34712,1.31212,12.86525
