Imperial Supersonic Wind Tunnel: Geometry
Constant width: 150 mm
Axial location measured relative to leading edge of nozzle component
x,h
203.43,133.628
204.73,133.998
206.03,134.364
207.34,134.726
208.64,135.084
209.94,135.438
211.25,135.786
212.55,136.132
213.86,136.472
215.18,136.808
216.49,137.142
217.8,137.47
219.12,137.794
220.44,138.116
221.77,138.432
223.1,138.746
224.43,139.054
225.76,139.36
227.1,139.66
228.44,139.958
229.78,140.25
231.13,140.54
232.48,140.824
233.84,141.106
235.2,141.384
236.56,141.658
237.93,141.928
239.31,142.194
240.68,142.456
242.06,142.714
243.45,142.968
244.84,143.218
246.24,143.464
247.64,143.706
249.05,143.944
250.46,144.178
251.88,144.408
253.3,144.634
254.73,144.856
256.16,145.072
257.6,145.286
259.05,145.496
260.5,145.7
261.95,145.9
263.42,146.098
264.88,146.29
266.36,146.478
267.84,146.66
269.33,146.84
270.82,147.014
272.32,147.186
273.83,147.352
275.34,147.512
276.86,147.67
278.39,147.82
279.92,147.968
281.46,148.11
283.01,148.248
284.57,148.382
286.13,148.51
287.7,148.634
289.27,148.754
290.86,148.868
292.45,148.976
294.05,149.08
295.66,149.178
297.27,149.272
298.89,149.36
300.52,149.444
302.16,149.522
303.81,149.594
305.46,149.662
307.13,149.724
308.8,149.78
310.48,149.832
312.16,149.876
313.86,149.916
315.56,149.95
317.28,149.978
319,150
350,150
400,150
500,150
600,150
700,150
800,150
900,150
1000,150
1046,150
