#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.62241  0.38532  0.09314  1.30242  0.004666  0.001333  0.000579     3.500
   0.63034  0.37740  0.09341  1.30608  0.004486  0.001311  0.000776     3.420
   0.63823  0.36951  0.09364  1.30985  0.004314  0.001289  0.000987     3.346
   0.64611  0.36164  0.09382  1.31369  0.004154  0.001267  0.001204     3.279
   0.65395  0.35379  0.09397  1.31756  0.004005  0.001245  0.001426     3.218
   0.66177  0.34597  0.09407  1.32146  0.003866  0.001222  0.001652     3.163
   0.66957  0.33817  0.09414  1.32539  0.003734  0.001200  0.001886     3.112
   0.67734  0.33040  0.09415  1.32924  0.003614  0.001178  0.002108     3.069
   0.68509  0.32265  0.09413  1.33310  0.003499  0.001156  0.002340     3.027
   0.69281  0.31493  0.09406  1.33689  0.003392  0.001134  0.002569     2.990
   0.70051  0.30724  0.09395  1.34063  0.003290  0.001113  0.002798     2.957
   0.70818  0.29957  0.09379  1.34429  0.003196  0.001092  0.003022     2.927
   0.71582  0.29193  0.09358  1.34789  0.003104  0.001071  0.003251     2.899
   0.72343  0.28432  0.09333  1.35142  0.003017  0.001050  0.003480     2.873
   0.73102  0.27674  0.09303  1.35482  0.002937  0.001030  0.003697     2.850
   0.73858  0.26919  0.09269  1.35818  0.002857  0.001010  0.003926     2.829
   0.74610  0.26168  0.09230  1.36144  0.002782  0.000990  0.004150     2.809
   0.75359  0.25420  0.09186  1.36465  0.002708  0.000971  0.004386     2.790
   0.76104  0.24677  0.09137  1.36768  0.002640  0.000952  0.004603     2.774
   0.76845  0.23938  0.09083  1.37071  0.002570  0.000932  0.004844     2.757
   0.77581  0.23203  0.09025  1.37363  0.002504  0.000913  0.005084     2.741
   0.78313  0.22474  0.08962  1.37643  0.002439  0.000895  0.005323     2.727
   0.79040  0.21751  0.08894  1.37915  0.002376  0.000876  0.005574     2.713
   0.79761  0.21033  0.08821  1.38170  0.002316  0.000858  0.005811     2.701
   0.80477  0.20322  0.08743  1.38420  0.002257  0.000839  0.006068     2.689
   0.81187  0.19617  0.08660  1.38653  0.002200  0.000821  0.006313     2.678
   0.81890  0.18919  0.08572  1.38887  0.002141  0.000803  0.006595     2.666
   0.82586  0.18229  0.08480  1.39091  0.002088  0.000786  0.006837     2.658
   0.83275  0.17547  0.08383  1.39294  0.002034  0.000768  0.007110     2.649
   0.83955  0.16875  0.08281  1.39478  0.001982  0.000751  0.007368     2.641
   0.84627  0.16212  0.08175  1.39652  0.001932  0.000733  0.007630     2.634
   0.85288  0.15559  0.08064  1.39831  0.001879  0.000716  0.007949     2.624
   0.85939  0.14919  0.07950  1.39984  0.001829  0.000699  0.008250     2.617
   0.86578  0.14291  0.07831  1.40131  0.001778  0.000682  0.008583     2.608
   0.87204  0.13676  0.07709  1.40251  0.001730  0.000665  0.008896     2.601
   0.87818  0.13076  0.07584  1.40362  0.001682  0.000649  0.009233     2.594
   0.88417  0.12491  0.07456  1.40453  0.001636  0.000632  0.009570     2.587
   0.89001  0.11921  0.07325  1.40525  0.001592  0.000617  0.009903     2.582
   0.89571  0.11367  0.07192  1.40587  0.001548  0.000601  0.010260     2.576
   0.90124  0.10831  0.07057  1.40632  0.001504  0.000585  0.010628     2.570
   0.90661  0.10312  0.06920  1.40650  0.001464  0.000570  0.010962     2.567
   0.91181  0.09810  0.06782  1.40669  0.001422  0.000555  0.011353     2.561
   0.91683  0.09328  0.06644  1.40653  0.001385  0.000541  0.011675     2.560
   0.92168  0.08863  0.06505  1.40656  0.001344  0.000526  0.012121     2.553
   0.92634  0.08418  0.06367  1.40633  0.001305  0.000512  0.012559     2.547
   0.93083  0.07991  0.06229  1.40595  0.001266  0.000498  0.013028     2.541
   0.93514  0.07582  0.06091  1.40539  0.001228  0.000485  0.013536     2.534
   0.93928  0.07191  0.05954  1.40438  0.001194  0.000472  0.013954     2.531
   0.94325  0.06818  0.05819  1.40347  0.001158  0.000459  0.014509     2.523
   0.94706  0.06462  0.05685  1.40204  0.001126  0.000447  0.014947     2.520
   0.95071  0.06122  0.05552  1.40062  0.001093  0.000435  0.015477     2.515
   0.95421  0.05798  0.05421  1.39903  0.001060  0.000423  0.016059     2.508
   0.95756  0.05489  0.05291  1.39704  0.001030  0.000411  0.016589     2.503
   0.96077  0.05194  0.05163  1.39495  0.000999  0.000400  0.017202     2.496
   0.96386  0.04913  0.05036  1.39235  0.000972  0.000390  0.017694     2.494
   0.96681  0.04645  0.04911  1.38981  0.000943  0.000379  0.018328     2.487
   0.96965  0.04389  0.04787  1.38674  0.000918  0.000369  0.018821     2.486
   0.97237  0.04146  0.04666  1.38360  0.000892  0.000359  0.019360     2.484
   0.97499  0.03913  0.04546  1.38043  0.000866  0.000350  0.020008     2.478
   0.97751  0.03691  0.04427  1.37705  0.000840  0.000340  0.020732     2.472
   0.97993  0.03479  0.04310  1.37328  0.000814  0.000330  0.021468     2.465
   0.98226  0.03277  0.04195  1.36922  0.000789  0.000321  0.022294     2.457
   0.98451  0.03083  0.04081  1.36447  0.000766  0.000312  0.022973     2.452
   0.98667  0.02899  0.03968  1.35962  0.000742  0.000304  0.023859     2.443
   0.98876  0.02722  0.03856  1.35401  0.000721  0.000295  0.024582     2.439
   0.99078  0.02554  0.03745  1.34795  0.000700  0.000287  0.025246     2.436
   0.99272  0.02392  0.03636  1.34176  0.000679  0.000279  0.026091     2.430
   0.99461  0.02238  0.03527  1.33473  0.000661  0.000272  0.026616     2.431
   0.99644  0.02090  0.03420  1.32813  0.000639  0.000264  0.027738     2.420
   0.99821  0.01949  0.03313  1.32030  0.000620  0.000256  0.028485     2.417
   0.99992  0.01814  0.03207  1.31233  0.000599  0.000249  0.029581     2.408
   1.00159  0.01685  0.03102  1.30358  0.000578  0.000241  0.030847     2.395
   1.00320  0.01562  0.02998  1.29346  0.000560  0.000234  0.031837     2.387
   1.00477  0.01444  0.02894  1.28247  0.000542  0.000228  0.032832     2.380
   1.00630  0.01332  0.02791  1.27049  0.000526  0.000221  0.033713     2.375
   1.00779  0.01224  0.02688  1.25772  0.000510  0.000215  0.034626     2.369
   1.00923  0.01122  0.02585  1.24420  0.000493  0.000209  0.035819     2.358
   1.01065  0.01025  0.02483  1.22894  0.000479  0.000203  0.036362     2.358
   1.01202  0.00932  0.02381  1.21347  0.000463  0.000197  0.037584     2.347
   1.01337  0.00844  0.02279  1.19579  0.000454  0.000192  0.037391     2.358
   1.01468  0.00760  0.02178  1.17922  0.000436  0.000186  0.038831     2.345
   1.01597  0.00681  0.02077  1.16045  0.000421  0.000180  0.039948     2.335
   1.01723  0.00606  0.01976  1.13980  0.000408  0.000175  0.040773     2.329
   1.01846  0.00536  0.01875  1.11769  0.000394  0.000170  0.041736     2.321
   1.01966  0.00470  0.01775  1.09361  0.000380  0.000165  0.042710     2.310
   1.02083  0.00408  0.01674  1.06717  0.000370  0.000160  0.042996     2.307
   1.02198  0.00351  0.01574  1.03942  0.000358  0.000156  0.043521     2.300
   1.02311  0.00299  0.01475  1.00959  0.000347  0.000151  0.043948     2.292
   1.02422  0.00250  0.01375  0.97739  0.000335  0.000147  0.044689     2.277
   1.02531  0.00206  0.01275  0.94165  0.000326  0.000144  0.044600     2.267
   1.02638  0.00167  0.01176  0.90352  0.000320  0.000141  0.043742     2.264
