# Rn = 300000.
# AoA Cl Cd
-4.46 -0.225 0.0074
-2.34 -0.014 0.0069
-0.27 0.204 0.0067
1.93 0.406 0.0066
3.84 0.619 0.0069
5.74 0.818 0.0084
7.81 0.999 0.0110
11.94 1.310 0.0183
13.99 1.432 0.0242
16.07 1.277 -
18.11 1.161 -
20.23 1.060 -
22.04 0.996 -
24.24 1.023 -
