#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.62241  0.38532  0.09314  1.32418  0.005165  0.001343  0.000147     3.845
   0.63034  0.37740  0.09341  1.32772  0.004953  0.001323  0.000320     3.745
   0.63823  0.36951  0.09364  1.33141  0.004751  0.001302  0.000514     3.651
   0.64611  0.36164  0.09382  1.33523  0.004563  0.001280  0.000720     3.565
   0.65395  0.35379  0.09397  1.33915  0.004386  0.001258  0.000937     3.487
   0.66177  0.34597  0.09407  1.34317  0.004222  0.001236  0.001163     3.415
   0.66957  0.33817  0.09414  1.34725  0.004066  0.001214  0.001401     3.350
   0.67734  0.33040  0.09415  1.35134  0.003924  0.001192  0.001633     3.293
   0.68509  0.32265  0.09413  1.35547  0.003788  0.001169  0.001877     3.239
   0.69281  0.31493  0.09406  1.35957  0.003662  0.001147  0.002121     3.192
   0.70051  0.30724  0.09395  1.36365  0.003544  0.001126  0.002365     3.149
   0.70818  0.29957  0.09379  1.36767  0.003433  0.001104  0.002608     3.110
   0.71582  0.29193  0.09358  1.37165  0.003328  0.001082  0.002855     3.074
   0.72343  0.28432  0.09333  1.37557  0.003228  0.001061  0.003103     3.041
   0.73102  0.27674  0.09303  1.37937  0.003135  0.001041  0.003341     3.013
   0.73858  0.26919  0.09269  1.38313  0.003045  0.001020  0.003588     2.986
   0.74610  0.26168  0.09230  1.38679  0.002960  0.000999  0.003833     2.961
   0.75359  0.25420  0.09186  1.39038  0.002876  0.000979  0.004087     2.937
   0.76104  0.24677  0.09137  1.39381  0.002800  0.000959  0.004324     2.918
   0.76845  0.23938  0.09083  1.39722  0.002722  0.000940  0.004584     2.897
   0.77581  0.23203  0.09025  1.40050  0.002648  0.000920  0.004841     2.878
   0.78313  0.22474  0.08962  1.40366  0.002578  0.000901  0.005099     2.861
   0.79040  0.21751  0.08894  1.40673  0.002508  0.000882  0.005368     2.844
   0.79761  0.21033  0.08821  1.40961  0.002442  0.000863  0.005623     2.830
   0.80477  0.20322  0.08743  1.41243  0.002377  0.000844  0.005895     2.816
   0.81187  0.19617  0.08660  1.41507  0.002315  0.000826  0.006160     2.804
   0.81890  0.18919  0.08572  1.41768  0.002252  0.000807  0.006454     2.790
   0.82586  0.18229  0.08480  1.42001  0.002194  0.000789  0.006716     2.780
   0.83275  0.17547  0.08383  1.42229  0.002136  0.000771  0.007002     2.769
   0.83955  0.16875  0.08281  1.42438  0.002080  0.000754  0.007280     2.760
   0.84627  0.16212  0.08175  1.42633  0.002026  0.000736  0.007555     2.753
   0.85288  0.15559  0.08064  1.42832  0.001969  0.000718  0.007892     2.741
   0.85939  0.14919  0.07950  1.43005  0.001915  0.000701  0.008210     2.732
   0.86578  0.14291  0.07831  1.43167  0.001861  0.000684  0.008558     2.722
   0.87204  0.13676  0.07709  1.43301  0.001810  0.000667  0.008885     2.715
   0.87818  0.13076  0.07584  1.43425  0.001759  0.000650  0.009243     2.706
   0.88417  0.12491  0.07456  1.43525  0.001710  0.000634  0.009595     2.699
   0.89001  0.11921  0.07325  1.43603  0.001663  0.000618  0.009941     2.693
   0.89571  0.11367  0.07192  1.43670  0.001616  0.000602  0.010315     2.686
   0.90124  0.10831  0.07057  1.43719  0.001570  0.000586  0.010703     2.679
   0.90661  0.10312  0.06920  1.43737  0.001527  0.000571  0.011049     2.675
   0.91181  0.09810  0.06782  1.43755  0.001483  0.000556  0.011455     2.669
   0.91683  0.09328  0.06644  1.43737  0.001443  0.000541  0.011799     2.667
   0.92168  0.08863  0.06505  1.43735  0.001400  0.000526  0.012269     2.659
   0.92634  0.08418  0.06367  1.43702  0.001359  0.000512  0.012719     2.653
   0.93083  0.07991  0.06229  1.43653  0.001318  0.000498  0.013207     2.646
   0.93514  0.07582  0.06091  1.43586  0.001278  0.000484  0.013744     2.637
   0.93928  0.07191  0.05954  1.43467  0.001242  0.000471  0.014182     2.634
   0.94325  0.06818  0.05819  1.43357  0.001203  0.000458  0.014758     2.625
   0.94706  0.06462  0.05685  1.43191  0.001170  0.000446  0.015210     2.622
   0.95071  0.06122  0.05552  1.43028  0.001134  0.000434  0.015778     2.615
   0.95421  0.05798  0.05421  1.42839  0.001100  0.000422  0.016372     2.607
   0.95756  0.05489  0.05291  1.42613  0.001068  0.000410  0.016940     2.601
   0.96077  0.05194  0.05163  1.42368  0.001036  0.000399  0.017565     2.594
   0.96386  0.04913  0.05036  1.42074  0.001007  0.000389  0.018089     2.591
   0.96681  0.04645  0.04911  1.41781  0.000976  0.000378  0.018753     2.583
   0.96965  0.04389  0.04787  1.41426  0.000950  0.000368  0.019241     2.581
   0.97237  0.04146  0.04666  1.41074  0.000923  0.000358  0.019832     2.577
   0.97499  0.03913  0.04546  1.40709  0.000895  0.000348  0.020502     2.571
   0.97751  0.03691  0.04427  1.40320  0.000868  0.000338  0.021247     2.564
   0.97993  0.03479  0.04310  1.39892  0.000841  0.000329  0.022023     2.556
   0.98226  0.03277  0.04195  1.39427  0.000814  0.000320  0.022874     2.546
   0.98451  0.03083  0.04081  1.38889  0.000790  0.000311  0.023578     2.541
   0.98667  0.02899  0.03968  1.38342  0.000764  0.000302  0.024514     2.531
   0.98876  0.02722  0.03856  1.37705  0.000742  0.000294  0.025238     2.525
   0.99078  0.02554  0.03745  1.37030  0.000720  0.000286  0.025962     2.521
   0.99272  0.02392  0.03636  1.36331  0.000698  0.000278  0.026831     2.513
   0.99461  0.02238  0.03527  1.35544  0.000679  0.000270  0.027381     2.513
   0.99644  0.02090  0.03420  1.34793  0.000656  0.000262  0.028502     2.501
   0.99821  0.01949  0.03313  1.33925  0.000636  0.000255  0.029320     2.496
   0.99992  0.01814  0.03207  1.33027  0.000614  0.000247  0.030421     2.485
   1.00159  0.01685  0.03102  1.32051  0.000592  0.000240  0.031739     2.471
   1.00320  0.01562  0.02998  1.30926  0.000573  0.000233  0.032752     2.462
   1.00477  0.01444  0.02894  1.29709  0.000554  0.000226  0.033774     2.452
   1.00630  0.01332  0.02791  1.28388  0.000537  0.000220  0.034698     2.444
   1.00779  0.01224  0.02688  1.26976  0.000520  0.000213  0.035597     2.437
   1.00923  0.01122  0.02585  1.25487  0.000503  0.000207  0.036783     2.425
   1.01065  0.01025  0.02483  1.23826  0.000488  0.000202  0.037382     2.422
   1.01202  0.00932  0.02381  1.22124  0.000472  0.000196  0.038513     2.410
   1.01337  0.00844  0.02279  1.20218  0.000461  0.000191  0.038378     2.418
   1.01468  0.00760  0.02178  1.18405  0.000444  0.000185  0.039739     2.403
   1.01597  0.00681  0.02077  1.16380  0.000428  0.000179  0.040869     2.392
   1.01723  0.00606  0.01976  1.14161  0.000413  0.000173  0.041742     2.382
   1.01846  0.00536  0.01875  1.11777  0.000399  0.000168  0.042588     2.372
   1.01966  0.00470  0.01775  1.09210  0.000385  0.000163  0.043543     2.359
   1.02083  0.00408  0.01674  1.06404  0.000373  0.000159  0.043845     2.352
   1.02198  0.00351  0.01574  1.03454  0.000361  0.000154  0.044313     2.342
   1.02311  0.00299  0.01475  1.00297  0.000350  0.000150  0.044569     2.333
   1.02422  0.00250  0.01375  0.96926  0.000338  0.000146  0.045263     2.314
   1.02531  0.00206  0.01275  0.93201  0.000329  0.000143  0.045104     2.301
   1.02638  0.00167  0.01176  0.89247  0.000322  0.000140  0.044055     2.297
   1.02743  0.00131  0.01077  0.85194  0.000315  0.000138  0.043078     2.290
   1.02847  0.00100  0.00978  0.81003  0.000309  0.000135  0.041808     2.285
   1.02949  0.00072  0.00879  0.76663  0.000302  0.000133  0.041064     2.268
   1.03050  0.00049  0.00781  0.72087  0.000299  0.000132  0.038625     2.272
   1.03150  0.00030  0.00683  0.67529  0.000293  0.000130  0.037377     2.256
   1.03248  0.00014  0.00586  0.62769  0.000291  0.000129  0.034767     2.259
   1.03346  0.00002  0.00489  0.58099  0.000288  0.000127  0.032198     2.265
   1.03442 -0.00006  0.00393  0.53313  0.000280  0.000125  0.031257     2.234
   1.03538 -0.00011  0.00298  0.48247  0.000283  0.000126  0.027213     2.258
   1.03633 -0.00011  0.00202  0.43481  0.000277  0.000123  0.025192     2.252
   1.03728 -0.00008  0.00107  0.38343  0.000270  0.000121  0.023259     2.225
   1.03823 -0.00001  0.00013  0.32893  0.000274  0.000123  0.019635     2.225
   1.03918  0.00010 -0.00082  0.27718  0.000278  0.000124  0.016036     2.242
   1.04014  0.00025 -0.00176  0.22596  0.000274  0.000123  0.013519     2.221
   1.04110  0.00043 -0.00270  0.17372  0.000279  0.000124  0.010034     2.239
   1.04207  0.00066 -0.00365  0.12209  0.000273  0.000123  0.007256     2.228
   1.04305  0.00093 -0.00459  0.06855  0.000278  0.000125  0.004013     2.225
