"Iteration","CL Monitor: CL Monitor"
1.0,1.4907908092143178
2.0,1.3683205477008697
3.0,0.660940833128869
4.0,0.4465751824361478
5.0,0.2751138349561251
6.0,0.22400804684973755
7.0,0.19917508740562379
8.0,0.21145114959033284
9.0,0.19618746405025841
10.0,0.2233133883095572
11.0,0.168507846002317
12.0,0.2220727334431511
13.0,0.3031222224860528
14.0,0.3289439252343585
15.0,0.3548781043423951
16.0,0.37258152142814144
17.0,0.38370402566572714
18.0,0.4064428670173373
19.0,0.4169229353066295
20.0,0.4228565845382695
21.0,0.4166109678291478
22.0,0.41201092806336426
23.0,0.40141971725260134
24.0,0.3998073932899392
25.0,0.40442557125935974
26.0,0.4139759256523692
27.0,0.42689602773135654
28.0,0.43403692057649
29.0,0.4462685617443108
30.0,0.4522273670607253
31.0,0.46118604943902725
32.0,0.46661884003230863
33.0,0.46932511034285046
34.0,0.4700976775279405
35.0,0.46987627017899614
36.0,0.4698360184950208
37.0,0.4704426257285879
38.0,0.47119892508742217
39.0,0.47325949167003034
40.0,0.47523570143284605
41.0,0.4764144977963689
42.0,0.47837628075653005
43.0,0.4792352751808083
44.0,0.47994419039029984
45.0,0.4805439564735341
46.0,0.48100721698508175
47.0,0.4813383524694459
48.0,0.4815005960302013
49.0,0.4814954286019974
50.0,0.4812603095787875
51.0,0.4808981379542757
52.0,0.4804676455826659
53.0,0.4800653100508304
54.0,0.47941070029805255
55.0,0.4790680489756453
56.0,0.478716158473908
57.0,0.47815124343866433
58.0,0.4778434981792098
59.0,0.47734275283496397
60.0,0.4770808025568867
61.0,0.4766184517845798
62.0,0.47636979753210007
63.0,0.47586817771014267
64.0,0.47556829110664517
65.0,0.4750002209424521
66.0,0.47446362943221015
67.0,0.4739373150657597
68.0,0.4734182406989527
69.0,0.47289832716781555
70.0,0.47236411263740835
71.0,0.47178184901468706
72.0,0.47122098853663785
73.0,0.4706675915782857
74.0,0.47012109175304734
75.0,0.469586532963835
76.0,0.46906634905829137
77.0,0.4685582695424374
78.0,0.4681098942738444
79.0,0.46769741269666115
80.0,0.4673041810955888
81.0,0.4669414348894515
82.0,0.46662119553734643
83.0,0.4663543194963495
84.0,0.4661626316748543
85.0,0.46605022982752886
86.0,0.4660142822028503
87.0,0.4660674611837106
88.0,0.4661655309642346
89.0,0.4664459682055071
90.0,0.46664139349560424
91.0,0.46708417420401704
92.0,0.4673595493169438
93.0,0.46793952535508115
94.0,0.4682780640228804
95.0,0.46897202868215776
96.0,0.46935239020574937
97.0,0.4701324069313298
98.0,0.4705354382883301
99.0,0.4713424959177478
100.0,0.4720025536186507
101.0,0.4726438933327383
102.0,0.4732518574679146
103.0,0.4738532013784634
104.0,0.47445931437975053
105.0,0.4750778619111881
106.0,0.47571541567582387
107.0,0.4763658235986385
108.0,0.47703609435208383
109.0,0.4777081333837387
110.0,0.47838210059999015
111.0,0.47905366605605604
112.0,0.4797189298623299
113.0,0.48038325646012164
114.0,0.48104188041902013
115.0,0.4816971960090452
116.0,0.4823341252690114
117.0,0.4829786727987624
118.0,0.48361556102899894
119.0,0.48424795589316033
120.0,0.4848662914090662
121.0,0.4854658837072085
122.0,0.4860400585397131
123.0,0.48659925183120534
124.0,0.48714312222635586
125.0,0.4876720775627646
126.0,0.4881781880909789
127.0,0.4886636510445
128.0,0.48912502297817423
129.0,0.4895671630307412
130.0,0.4899919085778618
131.0,0.49039634088989237
132.0,0.4907697370271802
133.0,0.4911136269389722
134.0,0.4914265387863107
135.0,0.491716238458049
136.0,0.4919820713585228
137.0,0.49222748518098886
138.0,0.49244962120033475
139.0,0.49257207288220967
140.0,0.49280655242769783
141.0,0.49291900965679164
142.0,0.4931138864774016
143.0,0.4932018701075506
144.0,0.49328551454597036
145.0,0.4934150404365494
146.0,0.4934567435575228
147.0,0.49348089902154374
148.0,0.4934913391493917
149.0,0.4934890142676676
150.0,0.49346409529813073
151.0,0.4934180536260491
152.0,0.49335766494302785
153.0,0.4932354521750349
154.0,0.49316571029634837
155.0,0.49302055953130064
156.0,0.49293706220249217
157.0,0.492769123715139
158.0,0.4926776154629662
159.0,0.4924900972672993
160.0,0.492393638495929
161.0,0.49218743971810264
162.0,0.4920867644169397
163.0,0.4918643065365818
164.0,0.49175634235794474
165.0,0.49151732132626563
166.0,0.4914035471994487
167.0,0.49114637156809987
168.0,0.49103375400623167
169.0,0.4907786290303472
170.0,0.49066215455165185
171.0,0.4903916671481804
172.0,0.49027537315631103
173.0,0.48999169066722686
174.0,0.4898895148732944
175.0,0.4896249792163786
176.0,0.4895298210117773
177.0,0.4892929285615522
178.0,0.4891970944087024
179.0,0.4889755201457888
180.0,0.4888855989587785
181.0,0.4886268437692915
182.0,0.4885517845756504
183.0,0.48844863312014963
184.0,0.4882409553278375
185.0,0.4881691212459501
186.0,0.4880827469142769
187.0,0.48790218473456953
188.0,0.4878360797330579
189.0,0.4877588415954878
190.0,0.48768315143341023
191.0,0.4876085987279013
192.0,0.4875380940203052
193.0,0.487471138999688
194.0,0.4874132918340761
195.0,0.48736610990391704
196.0,0.48733234586757845
197.0,0.4873116253055083
198.0,0.4873030970961523
199.0,0.4873061858394263
200.0,0.4873205329255417
201.0,0.4873460728413452
202.0,0.4873818013061961
203.0,0.4874265639894666
204.0,0.4874797769581363
205.0,0.48754226199567147
206.0,0.48761640764019937
207.0,0.48769834622156466
208.0,0.4877917105725323
209.0,0.4878952999101806
210.0,0.48800287470439063
211.0,0.4881208047269323
212.0,0.48823617128757957
213.0,0.48845747144868146
214.0,0.4885438271987965
